population,params,params_ci_5,params_ci_95,discretized,discretized_ci_5,discretized_ci_95
Homo_sapiens,"{'S_d': -107.79309886726016, 'b': 0.1896454137694848, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -199.09573255272863, 'b': 0.16059836486791, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -56.15368202818198, 'b': 0.22203810528297882, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.22649343 0.25901489 0.18085689 0.33363479 0.         0.        ],[0.16527866 0.21449915 0.15214363 0.31482983 0.         0.        ],[0.28513442 0.30946348 0.21412319 0.35183513 0.         0.        ]
Pan_paniscus,"{'S_d': -928.8787179730145, 'b': 0.11600873059767068, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -3003.9789464615687, 'b': 0.08623348624670867, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -152.8725825356809, 'b': 0.14737447883521262, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.31008868 0.16047639 0.12370793 0.405727   0.         0.        ],[0.25086984 0.11277652 0.09260955 0.38142362 0.         0.        ],[0.37065245 0.21446275 0.15828781 0.43134228 0.         0.        ]
Pan_troglodytes_ellioti,"{'S_d': -469.0601538292792, 'b': 0.13698185921645117, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -906.7626413549316, 'b': 0.11561900843622355, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -204.51289798866043, 'b': 0.15857912753726794, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.32818285 0.17987514 0.13283257 0.35910944 0.         0.        ],[0.28627672 0.14915301 0.11484777 0.34482693 0.         0.        ],[0.37005935 0.21947615 0.15613189 0.3740045  0.         0.        ]
Pan_troglodytes_schweinfurthii,"{'S_d': -1537.980511548401, 'b': 0.12335555504532593, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -3696.7038866292414, 'b': 0.10300512866949078, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -499.2130363916133, 'b': 0.14622827414721137, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.39483425 0.14929977 0.11259211 0.34327387 0.         0.        ],[0.36196783 0.12187771 0.09597339 0.32966333 0.         0.        ],[0.42934887 0.18403898 0.13284666 0.35683274 0.         0.        ]
Pan_troglodytes_troglodytes,"{'S_d': -11222.55452911141, 'b': 0.10095531194979851, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -34078.99715926993, 'b': 0.08263197798644673, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -1753.2967999488021, 'b': 0.12011329816472768, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.44996688 0.1142023  0.09030429 0.34552653 0.         0.        ],[0.42060729 0.09095382 0.07512129 0.33322869 0.         0.        ],[0.4796561  0.14162758 0.10742381 0.36046336 0.         0.        ]
Pan_troglodytes_verus,"{'S_d': -509.7923296183797, 'b': 0.13123382851124413, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -1175.8821242670049, 'b': 0.10568376208674954, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -149.9305322823888, 'b': 0.1585722925333859, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.31352637 0.17706936 0.13254169 0.37686258 0.         0.        ],[0.25475781 0.13875687 0.10914836 0.35869575 0.         0.        ],[0.3653034  0.22582574 0.16228709 0.39492645 0.         0.        ]
Gorilla_beringei_beringei,"{'S_d': -50251.07910973864, 'b': 0.08067981143440703, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.06887729914381129, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -2369.1087734671487, 'b': 0.1026214525619057, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.44964606 0.09358996 0.07741219 0.3793518  0.         0.        ],[0.40322547 0.07858098 0.0670542  0.36533806 0.         0.        ],[0.4767508  0.12965571 0.10165355 0.39279725 0.         0.        ]
Gorilla_beringei_graueri,"{'S_d': -50535.08522327925, 'b': 0.0805180440684934, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.06685067791127462, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -1523.231750677754, 'b': 0.10701491715896509, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.44205524 0.09479944 0.07834426 0.38480105 0.         0.        ],[0.38901762 0.07770216 0.06661803 0.36910934 0.         0.        ],[0.47278624 0.13686873 0.1065377  0.4010294  0.         0.        ]
Gorilla_gorilla_gorilla,"{'S_d': -1745.2520440044277, 'b': 0.12122365253441869, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -4363.681426822359, 'b': 0.10273440153125511, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -564.4812304829139, 'b': 0.14021120459730407, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.39949922 0.1460014  0.11060315 0.34389624 0.         0.        ],[0.36510435 0.11901789 0.09400694 0.33227019 0.         0.        ],[0.43505577 0.17831232 0.12960233 0.35564085 0.         0.        ]
Pongo_abelii,"{'S_d': -4174.35571877345, 'b': 0.1176187710598777, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -10064.092257393904, 'b': 0.10007277098291699, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -1079.190960427965, 'b': 0.13673540457540212, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.44567378 0.13153959 0.10023716 0.32254947 0.         0.        ],[0.41372876 0.10921703 0.08627913 0.3118064  0.         0.        ],[0.4768604  0.16148274 0.11781451 0.33376968 0.         0.        ]
