REFERENCE_FOLDER	REGION	CONTIG_ID	START	END	BATCH	FEMALE_PLOIDY	MALE_PLOIDY
Lemur_catta_ssp	NC_059128.1	NC_059128.1	0	286674946	0	2	2
Lemur_catta_ssp	NC_059129.1	NC_059129.1	0	147489633	1	2	2
Lemur_catta_ssp	NC_059130.1	NC_059130.1	0	126926352	2	2	2
Lemur_catta_ssp	NC_059131.1	NC_059131.1	0	117448925	3	2	2
Lemur_catta_ssp	NC_059132.1	NC_059132.1	0	114043961	4	2	2
Lemur_catta_ssp	NC_059133.1	NC_059133.1	0	109667037	5	2	2
Lemur_catta_ssp	NC_059134.1	NC_059134.1	0	108754000	6	2	2
Lemur_catta_ssp	NC_059135.1	NC_059135.1	0	103682405	7	2	2
Lemur_catta_ssp	NC_059136.1	NC_059136.1	0	102162704	8	2	2
Lemur_catta_ssp	NC_059137.1	NC_059137.1	0	93510380	9	2	2
Lemur_catta_ssp	NW_025423732.1	NW_025423732.1	0	1621058	10	2	1
Lemur_catta_ssp	NW_025423733.1	NW_025423733.1	0	1574362	10	2	2
Lemur_catta_ssp	NW_025423734.1	NW_025423734.1	0	1534778	10	2	2
Lemur_catta_ssp	NW_025423735.1	NW_025423735.1	0	1003044	10	2	2
Lemur_catta_ssp	NW_025423736.1	NW_025423736.1	0	917673	10	2	2
Lemur_catta_ssp	NW_025423737.1	NW_025423737.1	0	591267	10	2	2
Lemur_catta_ssp	NW_025423738.1	NW_025423738.1	0	495382	10	2	2
Lemur_catta_ssp	NW_025423739.1	NW_025423739.1	0	455977	10	2	2
Lemur_catta_ssp	NW_025423740.1	NW_025423740.1	0	408758	10	2	2
Lemur_catta_ssp	NC_059138.1	NC_059138.1	0	99922226	10	2	2
Lemur_catta_ssp	NC_059139.1	NC_059139.1	0	99277061	11	2	2
Lemur_catta_ssp	NC_059140.1	NC_059140.1	0	84040924	12	2	2
Lemur_catta_ssp	NC_059141.1	NC_059141.1	0	70886106	13	2	2
Lemur_catta_ssp	NC_059142.1	NC_059142.1	0	57765672	14	2	2
Lemur_catta_ssp	NC_059143.1	NC_059143.1	0	56653852	15	2	2
Lemur_catta_ssp	NC_059144.1	NC_059144.1	0	51633263	16	2	2
Lemur_catta_ssp	NC_059145.1	NC_059145.1	0	49360328	17	2	2
Lemur_catta_ssp	NC_059146.1	NC_059146.1	0	37494493	18	2	2
Lemur_catta_ssp	NC_059147.1	NC_059147.1	0	34904378	19	2	2
Lemur_catta_ssp	NW_025423741.1	NW_025423741.1	0	246298	20	2	2
Lemur_catta_ssp	NC_059148.1	NC_059148.1	0	34588564	20	2	2
Lemur_catta_ssp	NC_059149.1	NC_059149.1	0	31472186	21	2	2
Lemur_catta_ssp	NC_059150.1	NC_059150.1	0	30841577	22	2	2
Lemur_catta_ssp	NC_059151.1	NC_059151.1	0	16987551	23	2	2
Lemur_catta_ssp	NC_059152.1	NC_059152.1	0	14521788	23	2	2
Lemur_catta_ssp	NC_059153.1	NC_059153.1	0	9714578	24	2	2
Lemur_catta_ssp	NC_059154.1	NC_059154.1	0	1917249	24	2	2
Lemur_catta_ssp	NC_059155.1	NC_059155.1	0	73531725	24	2	1
Lemur_catta_ssp	NC_059156.1	NC_059156.1	0	6804709	25	0	1
Lemur_catta_ssp	NW_025423742.1	NW_025423742.1	0	3105120	25	0	1
Lemur_catta_ssp	NW_025423743.1	NW_025423743.1	0	422877	25	2	2
Lemur_catta_ssp	NW_025423744.1	NW_025423744.1	0	390836	25	2	2
Lemur_catta_ssp	NW_025423745.1	NW_025423745.1	0	387644	25	2	2
