REFERENCE_FOLDER	REGION	CONTIG_ID	START	END	BATCH	FEMALE_PLOIDY	MALE_PLOIDY
Hoolock_leuconedys_ssp	CM104434.1	CM104434.1	0	226217378	0	2	2
Hoolock_leuconedys_ssp	CM104435.1	CM104435.1	0	205273716	1	2	2
Hoolock_leuconedys_ssp	CM104436.1	CM104436.1	0	205431765	2	2	2
Hoolock_leuconedys_ssp	CM104437.1	CM104437.1	0	186387884	3	2	2
Hoolock_leuconedys_ssp	CM104438.1	CM104438.1	0	183780091	4	2	2
Hoolock_leuconedys_ssp	CM104439.1	CM104439.1	0	171102821	5	2	2
Hoolock_leuconedys_ssp	CM104440.1	CM104440.1	0	168109244	6	2	2
Hoolock_leuconedys_ssp	CM104441.1	CM104441.1	0	158052080	7	2	2
Hoolock_leuconedys_ssp	CM104442.1	CM104442.1	0	115684913	8	2	2
Hoolock_leuconedys_ssp	CM104443.1	CM104443.1	0	159996863	9	2	2
Hoolock_leuconedys_ssp	CM104444.1	CM104444.1	0	122244056	10	2	2
Hoolock_leuconedys_ssp	CM104445.1	CM104445.1	0	113351816	11	2	2
Hoolock_leuconedys_ssp	CM104446.1	CM104446.1	0	116101402	12	2	2
Hoolock_leuconedys_ssp	CM104447.1	CM104447.1	0	106155897	13	2	2
Hoolock_leuconedys_ssp	CM104448.1	CM104448.1	0	101099151	14	2	2
Hoolock_leuconedys_ssp	CM104449.1	CM104449.1	0	104997053	15	2	2
Hoolock_leuconedys_ssp	CM104450.1	CM104450.1	0	88733858	16	2	2
Hoolock_leuconedys_ssp	CM104451.1	CM104451.1	0	84890012	17	2	2
Hoolock_leuconedys_ssp	CM104452.1	CM104452.1	0	142999521	18	2	1
