REFERENCE_FOLDER	REGION	CONTIG_ID	START	END	BATCH	FEMALE_PLOIDY	MALE_PLOIDY
Piliocolobus_tephrosceles_ssp	NC_045434.1	NC_045434.1	0	221045333	0	2	2
Piliocolobus_tephrosceles_ssp	NC_045435.1	NC_045435.1	0	193682385	1	2	2
Piliocolobus_tephrosceles_ssp	NC_045436.1	NC_045436.1	0	184646964	2	2	2
Piliocolobus_tephrosceles_ssp	NC_045437.1	NC_045437.1	0	178867606	3	2	2
Piliocolobus_tephrosceles_ssp	NC_045438.1	NC_045438.1	0	168402060	4	2	2
Piliocolobus_tephrosceles_ssp	NC_045439.1	NC_045439.1	0	163413076	5	2	2
Piliocolobus_tephrosceles_ssp	NC_045440.1	NC_045440.1	0	148656448	6	2	2
Piliocolobus_tephrosceles_ssp	NC_045441.1	NC_045441.1	0	147792934	7	2	2
Piliocolobus_tephrosceles_ssp	NC_045442.1	NC_045442.1	0	131283114	8	2	2
Piliocolobus_tephrosceles_ssp	NC_045443.1	NC_045443.1	0	130810358	9	2	2
Piliocolobus_tephrosceles_ssp	NC_045444.1	NC_045444.1	0	128181973	10	2	2
Piliocolobus_tephrosceles_ssp	NC_045445.1	NC_045445.1	0	124784683	11	2	2
Piliocolobus_tephrosceles_ssp	NC_045446.1	NC_045446.1	0	124059081	12	2	2
Piliocolobus_tephrosceles_ssp	NC_045447.1	NC_045447.1	0	111442408	13	2	2
Piliocolobus_tephrosceles_ssp	NC_045448.1	NC_045448.1	0	108208424	14	2	2
Piliocolobus_tephrosceles_ssp	NC_045449.1	NC_045449.1	0	77097864	15	2	2
Piliocolobus_tephrosceles_ssp	NC_045450.1	NC_045450.1	0	74913260	16	2	2
Piliocolobus_tephrosceles_ssp	NC_045451.1	NC_045451.1	0	73925647	17	2	2
Piliocolobus_tephrosceles_ssp	NC_045452.1	NC_045452.1	0	69320834	18	2	2
Piliocolobus_tephrosceles_ssp	NC_045453.1	NC_045453.1	0	58236580	19	2	2
Piliocolobus_tephrosceles_ssp	NC_045454.1	NC_045454.1	0	52676213	20	2	2
Piliocolobus_tephrosceles_ssp	NC_045455.1	NC_045455.1	0	95246109	21	2	1
Piliocolobus_tephrosceles_ssp	NC_045456.1	NC_045456.1	0	26487807	22	0	1
Piliocolobus_tephrosceles_ssp	NW_022290975.1	NW_022290975.1	0	2008	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022290976.1	NW_022290976.1	0	1186	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022290977.1	NW_022290977.1	0	3171	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022290979.1	NW_022290979.1	0	1484	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022290980.1	NW_022290980.1	0	1560	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022290981.1	NW_022290981.1	0	1604	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022290983.1	NW_022290983.1	0	1618	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022290986.1	NW_022290986.1	0	1118	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022290993.1	NW_022290993.1	0	1316	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022290995.1	NW_022290995.1	0	1150	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022290998.1	NW_022290998.1	0	1136	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022290999.1	NW_022290999.1	0	1330	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291002.1	NW_022291002.1	0	1302	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291003.1	NW_022291003.1	0	1146	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291005.1	NW_022291005.1	0	1332	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291006.1	NW_022291006.1	0	1766	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291007.1	NW_022291007.1	0	1314	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291009.1	NW_022291009.1	0	1274	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291012.1	NW_022291012.1	0	1359	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291013.1	NW_022291013.1	0	1420	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291015.1	NW_022291015.1	0	1558	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291018.1	NW_022291018.1	0	1612	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291022.1	NW_022291022.1	0	2299	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291023.1	NW_022291023.1	0	1260	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291026.1	NW_022291026.1	0	1082	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291027.1	NW_022291027.1	0	1066	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291028.1	NW_022291028.1	0	1386	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291029.1	NW_022291029.1	0	1316	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291031.1	NW_022291031.1	0	1070	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291032.1	NW_022291032.1	0	1388	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291034.1	NW_022291034.1	0	1116	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291036.1	NW_022291036.1	0	1630	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291045.1	NW_022291045.1	0	1608	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291046.1	NW_022291046.1	0	1734	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291054.1	NW_022291054.1	0	1884	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291055.1	NW_022291055.1	0	3053	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291056.1	NW_022291056.1	0	1654	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291057.1	NW_022291057.1	0	1678	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291062.1	NW_022291062.1	0	1406	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291063.1	NW_022291063.1	0	1194	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291066.1	NW_022291066.1	0	10601	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291068.1	NW_022291068.1	0	1348	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291070.1	NW_022291070.1	0	1636	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291071.1	NW_022291071.1	0	1128	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291072.1	NW_022291072.1	0	1800	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291073.1	NW_022291073.1	0	1562	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291074.1	NW_022291074.1	0	1966	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291076.1	NW_022291076.1	0	1182	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291079.1	NW_022291079.1	0	1220	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291082.1	NW_022291082.1	0	1220	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291083.1	NW_022291083.1	0	1260	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291085.1	NW_022291085.1	0	1514	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291088.1	NW_022291088.1	0	2315	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291089.1	NW_022291089.1	0	8057	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291090.1	NW_022291090.1	0	1428	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291091.1	NW_022291091.1	0	1148	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291093.1	NW_022291093.1	0	1852	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291094.1	NW_022291094.1	0	1760	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291095.1	NW_022291095.1	0	1366	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291096.1	NW_022291096.1	0	1564	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291103.1	NW_022291103.1	0	1082	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291105.1	NW_022291105.1	0	1382	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291106.1	NW_022291106.1	0	1276	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291107.1	NW_022291107.1	0	8571	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291108.1	NW_022291108.1	0	8668	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291110.1	NW_022291110.1	0	1453	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291112.1	NW_022291112.1	0	1306	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291113.1	NW_022291113.1	0	1080	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291114.1	NW_022291114.1	0	1472	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291115.1	NW_022291115.1	0	1324	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291116.1	NW_022291116.1	0	1128	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291117.1	NW_022291117.1	0	1084	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291121.1	NW_022291121.1	0	1841	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291123.1	NW_022291123.1	0	1144	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291124.1	NW_022291124.1	0	4073	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291125.1	NW_022291125.1	0	1072	22	2	2
Piliocolobus_tephrosceles_ssp	NW_022291126.1	NW_022291126.1	0	1548	22	2	2
