REFERENCE_FOLDER	REGION	CONTIG_ID	START	END	BATCH	FEMALE_PLOIDY	MALE_PLOIDY
Otolemur_crassicaudatus_ssp	HiC_scaffold_1	HiC_scaffold_1	0	133865904	0	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_2	HiC_scaffold_2	0	123543198	1	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_3	HiC_scaffold_3	0	123208900	2	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_4	HiC_scaffold_4	0	119613258	3	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_5	HiC_scaffold_5	0	119330460	4	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_6	HiC_scaffold_6	0	109090419	5	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_7	HiC_scaffold_7	0	107130807	6	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_8	HiC_scaffold_8	0	98644153	7	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_9	HiC_scaffold_9	0	95747468	8	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_10	HiC_scaffold_10	0	93195288	9	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_11	HiC_scaffold_11	0	92568784	10	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_12	HiC_scaffold_12	0	91872397	11	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_13	HiC_scaffold_13	0	85632820	12	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_14	HiC_scaffold_14	0	81831350	13	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_15	HiC_scaffold_15	0	80774861	14	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_16	HiC_scaffold_16	0	77734808	15	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_17	HiC_scaffold_17	0	76517762	16	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_18	HiC_scaffold_18	0	74159383	17	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_19	HiC_scaffold_19	0	71314220	18	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_20	HiC_scaffold_20	0	62770604	19	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_21	HiC_scaffold_21	0	62103965	20	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_22	HiC_scaffold_22	0	53075398	21	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_23	HiC_scaffold_23	0	50867775	22	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_24	HiC_scaffold_24	0	48430278	23	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_25	HiC_scaffold_25	0	48348149	24	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_26	HiC_scaffold_26	0	36557651	25	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_27	HiC_scaffold_27	0	36400928	26	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_28	HiC_scaffold_28	0	33122203	27	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_29	HiC_scaffold_29	0	26890500	28	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_30	HiC_scaffold_30	0	26759419	28	2	2
Otolemur_crassicaudatus_ssp	HiC_scaffold_31	HiC_scaffold_31	0	19282564	29	2	2
