REFERENCE_FOLDER	REGION	CONTIG_ID	START	END	BATCH	FEMALE_PLOIDY	MALE_PLOIDY
Leontopithecus_rosalia_ssp	HiC_scaffold_1	HiC_scaffold_1	0	194095082	0	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_2	HiC_scaffold_2	0	186967050	1	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_3	HiC_scaffold_3	0	174435890	2	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_4	HiC_scaffold_4	0	155535446	3	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_5	HiC_scaffold_5	0	150084174	4	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_6	HiC_scaffold_6	0	146846242	5	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_7	HiC_scaffold_7	0	141862267	6	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_8	HiC_scaffold_8	0	123992266	7	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_9	HiC_scaffold_9	0	121128971	8	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_10	HiC_scaffold_10	0	117038595	9	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_11	HiC_scaffold_11	0	115913060	10	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_12	HiC_scaffold_12	0	111197590	11	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_13	HiC_scaffold_13	0	111200769	12	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_14	HiC_scaffold_14	0	109004852	13	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_15	HiC_scaffold_15	0	91849638	14	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_16	HiC_scaffold_16	0	90060490	15	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_17	HiC_scaffold_17	0	68251265	16	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_18	HiC_scaffold_18	0	59012478	17	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_19	HiC_scaffold_19	0	44662985	18	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_20	HiC_scaffold_20	0	41577538	19	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_21	HiC_scaffold_21	0	41614999	20	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_22	HiC_scaffold_22	0	32419181	21	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_23	HiC_scaffold_23	0	129031055	22	2	1
Leontopithecus_rosalia_ssp	HiC_scaffold_25	HiC_scaffold_25	0	381465	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_26	HiC_scaffold_26	0	396927	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_27	HiC_scaffold_27	0	734883	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_28	HiC_scaffold_28	0	127291	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_29	HiC_scaffold_29	0	115129	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_30	HiC_scaffold_30	0	68233	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_31	HiC_scaffold_31	0	16398	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_32	HiC_scaffold_32	0	51944	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_33	HiC_scaffold_33	0	40189	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_34	HiC_scaffold_34	0	15793	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_35	HiC_scaffold_35	0	220501	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_36	HiC_scaffold_36	0	95961	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_37	HiC_scaffold_37	0	31000	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_38	HiC_scaffold_38	0	102977	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_39	HiC_scaffold_39	0	74629	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_40	HiC_scaffold_40	0	55347	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_41	HiC_scaffold_41	0	65045	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_42	HiC_scaffold_42	0	63331	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_43	HiC_scaffold_43	0	59984	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_44	HiC_scaffold_44	0	40590	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_45	HiC_scaffold_45	0	57474	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_46	HiC_scaffold_46	0	54679	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_47	HiC_scaffold_47	0	52130	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_48	HiC_scaffold_48	0	50004	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_49	HiC_scaffold_49	0	49338	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_50	HiC_scaffold_50	0	49255	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_51	HiC_scaffold_51	0	47867	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_52	HiC_scaffold_52	0	16961	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_53	HiC_scaffold_53	0	17595	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_54	HiC_scaffold_54	0	44087	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_55	HiC_scaffold_55	0	41088	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_56	HiC_scaffold_56	0	40765	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_57	HiC_scaffold_57	0	39947	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_58	HiC_scaffold_58	0	39238	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_59	HiC_scaffold_59	0	38565	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_60	HiC_scaffold_60	0	36325	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_61	HiC_scaffold_61	0	35952	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_62	HiC_scaffold_62	0	35867	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_63	HiC_scaffold_63	0	34974	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_64	HiC_scaffold_64	0	35193	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_65	HiC_scaffold_65	0	34719	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_66	HiC_scaffold_66	0	34292	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_67	HiC_scaffold_67	0	33700	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_68	HiC_scaffold_68	0	33287	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_69	HiC_scaffold_69	0	33415	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_70	HiC_scaffold_70	0	33060	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_71	HiC_scaffold_71	0	32364	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_72	HiC_scaffold_72	0	32089	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_73	HiC_scaffold_73	0	31925	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_74	HiC_scaffold_74	0	31191	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_75	HiC_scaffold_75	0	30851	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_76	HiC_scaffold_76	0	30135	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_77	HiC_scaffold_77	0	30793	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_78	HiC_scaffold_78	0	27972	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_79	HiC_scaffold_79	0	28182	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_80	HiC_scaffold_80	0	27937	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_81	HiC_scaffold_81	0	27679	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_82	HiC_scaffold_82	0	27400	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_83	HiC_scaffold_83	0	27348	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_84	HiC_scaffold_84	0	27043	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_85	HiC_scaffold_85	0	25000	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_86	HiC_scaffold_86	0	26556	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_87	HiC_scaffold_87	0	26416	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_88	HiC_scaffold_88	0	26113	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_89	HiC_scaffold_89	0	25807	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_90	HiC_scaffold_90	0	25707	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_91	HiC_scaffold_91	0	25547	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_92	HiC_scaffold_92	0	25484	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_93	HiC_scaffold_93	0	17000	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_94	HiC_scaffold_94	0	25438	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_95	HiC_scaffold_95	0	24982	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_96	HiC_scaffold_96	0	24758	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_97	HiC_scaffold_97	0	24643	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_98	HiC_scaffold_98	0	24584	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_99	HiC_scaffold_99	0	24425	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_100	HiC_scaffold_100	0	18000	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_101	HiC_scaffold_101	0	24421	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_102	HiC_scaffold_102	0	23927	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_103	HiC_scaffold_103	0	23675	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_104	HiC_scaffold_104	0	23508	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_105	HiC_scaffold_105	0	23624	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_106	HiC_scaffold_106	0	23298	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_107	HiC_scaffold_107	0	23288	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_108	HiC_scaffold_108	0	23024	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_109	HiC_scaffold_109	0	22831	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_110	HiC_scaffold_110	0	22534	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_111	HiC_scaffold_111	0	20000	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_112	HiC_scaffold_112	0	21813	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_113	HiC_scaffold_113	0	22000	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_114	HiC_scaffold_114	0	22424	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_115	HiC_scaffold_115	0	22416	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_116	HiC_scaffold_116	0	22398	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_117	HiC_scaffold_117	0	22378	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_118	HiC_scaffold_118	0	22233	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_119	HiC_scaffold_119	0	21896	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_120	HiC_scaffold_120	0	21870	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_121	HiC_scaffold_121	0	21580	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_122	HiC_scaffold_122	0	21475	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_123	HiC_scaffold_123	0	21372	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_124	HiC_scaffold_124	0	21371	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_125	HiC_scaffold_125	0	21335	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_126	HiC_scaffold_126	0	21326	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_127	HiC_scaffold_127	0	21310	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_128	HiC_scaffold_128	0	21123	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_129	HiC_scaffold_129	0	21123	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_130	HiC_scaffold_130	0	21114	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_131	HiC_scaffold_131	0	21103	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_132	HiC_scaffold_132	0	21000	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_133	HiC_scaffold_133	0	21101	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_134	HiC_scaffold_134	0	20991	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_135	HiC_scaffold_135	0	20852	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_136	HiC_scaffold_136	0	20751	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_137	HiC_scaffold_137	0	20738	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_138	HiC_scaffold_138	0	20708	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_139	HiC_scaffold_139	0	20643	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_140	HiC_scaffold_140	0	20613	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_141	HiC_scaffold_141	0	20611	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_142	HiC_scaffold_142	0	20581	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_143	HiC_scaffold_143	0	20198	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_144	HiC_scaffold_144	0	20481	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_145	HiC_scaffold_145	0	18000	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_146	HiC_scaffold_146	0	20195	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_147	HiC_scaffold_147	0	20083	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_148	HiC_scaffold_148	0	19996	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_149	HiC_scaffold_149	0	19989	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_150	HiC_scaffold_150	0	19736	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_151	HiC_scaffold_151	0	19519	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_152	HiC_scaffold_152	0	19429	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_153	HiC_scaffold_153	0	19396	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_154	HiC_scaffold_154	0	19383	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_155	HiC_scaffold_155	0	19353	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_156	HiC_scaffold_156	0	19337	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_157	HiC_scaffold_157	0	19299	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_158	HiC_scaffold_158	0	19103	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_159	HiC_scaffold_159	0	19126	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_160	HiC_scaffold_160	0	19070	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_161	HiC_scaffold_161	0	19062	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_162	HiC_scaffold_162	0	19016	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_163	HiC_scaffold_163	0	18960	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_164	HiC_scaffold_164	0	18827	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_165	HiC_scaffold_165	0	18953	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_166	HiC_scaffold_166	0	18787	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_167	HiC_scaffold_167	0	18650	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_168	HiC_scaffold_168	0	18645	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_169	HiC_scaffold_169	0	18405	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_170	HiC_scaffold_170	0	18302	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_171	HiC_scaffold_171	0	18298	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_172	HiC_scaffold_172	0	18277	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_173	HiC_scaffold_173	0	18240	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_174	HiC_scaffold_174	0	18251	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_175	HiC_scaffold_175	0	18169	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_176	HiC_scaffold_176	0	18167	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_177	HiC_scaffold_177	0	18130	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_178	HiC_scaffold_178	0	18053	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_179	HiC_scaffold_179	0	18109	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_180	HiC_scaffold_180	0	18029	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_181	HiC_scaffold_181	0	17958	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_182	HiC_scaffold_182	0	17913	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_183	HiC_scaffold_183	0	17887	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_184	HiC_scaffold_184	0	17733	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_185	HiC_scaffold_185	0	17731	23	2	2
Leontopithecus_rosalia_ssp	HiC_scaffold_186	HiC_scaffold_186	0	17716	23	2	2
