ref,cds_bp,genome_bp,fraction_coding
Chlorocebus_sabaeus,36001477,3267390416,0.0110184191101575
Gorilla_gorilla,38713954,3545850636,0.0109181006122898
Homo_sapiens,36050586,3217346917,0.0112050664507187
Macaca_mulatta,36480716,2971331530,0.0122775650013043
Macaca_nemestrina,36531952,3116288670,0.0117229037064785
Macaca_thibetana,36224418,2822383045,0.0128346923229196
Pan_paniscus,38781576,3244905271,0.0119515279372234
Pan_troglodytes,38509366,3177756316,0.0121184138022495
Papio_anubis,36161793,2869821163,0.0126007130570456
Pongo_abelii,37841262,3259870029,0.0116082118806461
Pongo_pygmaeus,37908946,3220951552,0.0117694865594799
Rhinopithecus_roxellana,35793642,3038477066,0.0117801257743638
Theropithecus_gelada,35034959,2889630685,0.0121243725649321
Trachypithecus_francoisi,36213419,2875571204,0.0125934697598953
