REFERENCE_FOLDER	REGION	CONTIG_ID	START	END	BATCH	FEMALE_PLOIDY	MALE_PLOIDY
Eulemur_flavifrons_ssp	HiC_scaffold_1	HiC_scaffold_1	0	121055598	0	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_2	HiC_scaffold_2	0	177128987	1	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_3	HiC_scaffold_3	0	191253396	2	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_4	HiC_scaffold_4	0	107104409	3	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_5	HiC_scaffold_5	0	161858188	4	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_6	HiC_scaffold_6	0	42456	5	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_7	HiC_scaffold_7	0	26520479	5	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_8	HiC_scaffold_8	0	14574004	5	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_9	HiC_scaffold_9	0	111878440	6	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_10	HiC_scaffold_10	0	125347299	7	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_11	HiC_scaffold_11	0	35924064	8	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_12	HiC_scaffold_12	0	13436902	9	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_13	HiC_scaffold_13	0	23491953	9	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_14	HiC_scaffold_14	0	7744789	10	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_15	HiC_scaffold_15	0	29799996	10	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_16	HiC_scaffold_16	0	35709113	11	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_17	HiC_scaffold_17	0	23566555	12	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_18	HiC_scaffold_18	0	90726502	12	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_19	HiC_scaffold_19	0	201748287	13	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_20	HiC_scaffold_20	0	272302482	14	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_21	HiC_scaffold_21	0	149948850	15	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_22	HiC_scaffold_22	0	156661540	16	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_23	HiC_scaffold_23	0	1408555	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_24	HiC_scaffold_24	0	17299	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_25	HiC_scaffold_25	0	49236	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_26	HiC_scaffold_26	0	32804	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_27	HiC_scaffold_27	0	27185	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_28	HiC_scaffold_28	0	26517	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_29	HiC_scaffold_29	0	24440	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_30	HiC_scaffold_30	0	21317	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_31	HiC_scaffold_31	0	20031	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_32	HiC_scaffold_32	0	19937	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_33	HiC_scaffold_33	0	19890	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_34	HiC_scaffold_34	0	16994	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_35	HiC_scaffold_35	0	16612	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_36	HiC_scaffold_36	0	15544	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_37	HiC_scaffold_37	0	15052	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_38	HiC_scaffold_38	0	41034	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_39	HiC_scaffold_39	0	39513	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_40	HiC_scaffold_40	0	34314	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_41	HiC_scaffold_41	0	33189	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_42	HiC_scaffold_42	0	27001	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_43	HiC_scaffold_43	0	26933	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_44	HiC_scaffold_44	0	26640	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_45	HiC_scaffold_45	0	26146	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_46	HiC_scaffold_46	0	24081	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_47	HiC_scaffold_47	0	19348	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_48	HiC_scaffold_48	0	19234	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_49	HiC_scaffold_49	0	19171	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_50	HiC_scaffold_50	0	17792	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_51	HiC_scaffold_51	0	16525	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_52	HiC_scaffold_52	0	16444	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_53	HiC_scaffold_53	0	16106	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_54	HiC_scaffold_54	0	16067	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_55	HiC_scaffold_55	0	15732	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_56	HiC_scaffold_56	0	15299	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_57	HiC_scaffold_57	0	1132	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_58	HiC_scaffold_58	0	3000	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_59	HiC_scaffold_59	0	1367	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_60	HiC_scaffold_60	0	2405	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_61	HiC_scaffold_61	0	1000	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_62	HiC_scaffold_62	0	1643	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_63	HiC_scaffold_63	0	1083	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_64	HiC_scaffold_64	0	2000	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_65	HiC_scaffold_65	0	1000	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_66	HiC_scaffold_66	0	1027	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_67	HiC_scaffold_67	0	1076	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_68	HiC_scaffold_68	0	1041	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_69	HiC_scaffold_69	0	25000	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_70	HiC_scaffold_70	0	1000	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_71	HiC_scaffold_71	0	30408	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_72	HiC_scaffold_72	0	12319	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_73	HiC_scaffold_73	0	1000	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_74	HiC_scaffold_74	0	1000	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_75	HiC_scaffold_75	0	1000	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_76	HiC_scaffold_76	0	2000	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_77	HiC_scaffold_77	0	1404	17	2	2
Eulemur_flavifrons_ssp	HiC_scaffold_78	HiC_scaffold_78	0	1000	17	2	2
