REFERENCE_FOLDER	REGION	CONTIG_ID	START	END	BATCH	FEMALE_PLOIDY	MALE_PLOIDY
Aotus_nancymaae_ssp	NW_026988412.1	NW_026988412.1	0	20378928	0	2	2
Aotus_nancymaae_ssp	NW_026988413.1	NW_026988413.1	0	65730980	0	2	2
Aotus_nancymaae_ssp	NW_026988414.1	NW_026988414.1	0	77817948	1	2	2
Aotus_nancymaae_ssp	NW_026988415.1	NW_026988415.1	0	70558208	2	2	1
Aotus_nancymaae_ssp	NW_026988416.1	NW_026988416.1	0	8458670	3	2	2
Aotus_nancymaae_ssp	NW_026988417.1	NW_026988417.1	0	102314877	3	2	2
Aotus_nancymaae_ssp	NW_026988418.1	NW_026988418.1	0	66750848	4	2	2
Aotus_nancymaae_ssp	NW_026988419.1	NW_026988419.1	0	65377962	5	2	2
Aotus_nancymaae_ssp	NW_026988420.1	NW_026988420.1	0	23891171	6	2	2
Aotus_nancymaae_ssp	NW_026988421.1	NW_026988421.1	0	80196246	6	2	2
Aotus_nancymaae_ssp	NW_026988422.1	NW_026988422.1	0	89234750	7	2	2
Aotus_nancymaae_ssp	NW_026988423.1	NW_026988423.1	0	50846664	8	2	2
Aotus_nancymaae_ssp	NW_026988424.1	NW_026988424.1	0	176603	9	2	2
Aotus_nancymaae_ssp	NW_026988425.1	NW_026988425.1	0	125204126	9	2	2
Aotus_nancymaae_ssp	NW_026988426.1	NW_026988426.1	0	18389824	10	2	2
Aotus_nancymaae_ssp	NW_026988427.1	NW_026988427.1	0	12364444	10	2	2
Aotus_nancymaae_ssp	NW_026988428.1	NW_026988428.1	0	84517782	11	2	2
Aotus_nancymaae_ssp	NW_026988429.1	NW_026988429.1	0	16244225	12	2	2
Aotus_nancymaae_ssp	NW_026988430.1	NW_026988430.1	0	26862536	12	2	2
Aotus_nancymaae_ssp	NW_026988431.1	NW_026988431.1	0	61905732	13	2	2
Aotus_nancymaae_ssp	NW_026988432.1	NW_026988432.1	0	72142404	14	2	2
Aotus_nancymaae_ssp	NW_026988433.1	NW_026988433.1	0	31954281	15	2	2
Aotus_nancymaae_ssp	NW_026988434.1	NW_026988434.1	0	49071	16	2	2
Aotus_nancymaae_ssp	NW_026988435.1	NW_026988435.1	0	49088251	16	2	2
Aotus_nancymaae_ssp	NW_026988436.1	NW_026988436.1	0	3377906	17	2	2
Aotus_nancymaae_ssp	NW_026988437.1	NW_026988437.1	0	14981868	17	2	2
Aotus_nancymaae_ssp	NW_026988438.1	NW_026988438.1	0	40760286	17	2	2
Aotus_nancymaae_ssp	NW_026988439.1	NW_026988439.1	0	2678647	18	2	2
Aotus_nancymaae_ssp	NW_026988440.1	NW_026988440.1	0	4962534	18	2	2
Aotus_nancymaae_ssp	NW_026988441.1	NW_026988441.1	0	41492595	18	2	2
Aotus_nancymaae_ssp	NW_026988442.1	NW_026988442.1	0	95473994	19	2	2
Aotus_nancymaae_ssp	NW_026988443.1	NW_026988443.1	0	39860678	20	2	2
Aotus_nancymaae_ssp	NW_026988444.1	NW_026988444.1	0	6986378	21	2	2
Aotus_nancymaae_ssp	NW_026988445.1	NW_026988445.1	0	31708673	21	2	2
Aotus_nancymaae_ssp	NW_026988446.1	NW_026988446.1	0	1265949	22	2	2
Aotus_nancymaae_ssp	NW_026988447.1	NW_026988447.1	0	66603118	22	2	2
Aotus_nancymaae_ssp	NW_026988448.1	NW_026988448.1	0	2160086	23	2	2
Aotus_nancymaae_ssp	NW_026988449.1	NW_026988449.1	0	19988660	23	2	2
Aotus_nancymaae_ssp	NW_026988450.1	NW_026988450.1	0	94861459	23	2	2
Aotus_nancymaae_ssp	NW_026988451.1	NW_026988451.1	0	454209	24	2	2
Aotus_nancymaae_ssp	NW_026988452.1	NW_026988452.1	0	8684035	24	2	2
Aotus_nancymaae_ssp	NW_026988453.1	NW_026988453.1	0	14397176	24	2	2
Aotus_nancymaae_ssp	NW_026988454.1	NW_026988454.1	0	131195652	24	2	2
Aotus_nancymaae_ssp	NW_026988455.1	NW_026988455.1	0	46174658	25	2	2
Aotus_nancymaae_ssp	NW_026988456.1	NW_026988456.1	0	993809	26	2	2
Aotus_nancymaae_ssp	NW_026988457.1	NW_026988457.1	0	16661174	26	2	2
Aotus_nancymaae_ssp	NW_026988458.1	NW_026988458.1	0	7956043	26	2	2
Aotus_nancymaae_ssp	NW_026988459.1	NW_026988459.1	0	2320923	26	2	2
Aotus_nancymaae_ssp	NW_026988460.1	NW_026988460.1	0	32393046	26	2	2
Aotus_nancymaae_ssp	NW_026988461.1	NW_026988461.1	0	5738410	27	2	2
Aotus_nancymaae_ssp	NW_026988462.1	NW_026988462.1	0	20914963	27	2	2
Aotus_nancymaae_ssp	NW_026988463.1	NW_026988463.1	0	35508488	27	2	2
