REFERENCE_FOLDER	REGION	CONTIG_ID	START	END	BATCH	FEMALE_PLOIDY	MALE_PLOIDY
Pan_paniscus_ssp	NC_073249.2	NC_073249.2	0	227705052	0	2	2
Pan_paniscus_ssp	NC_085926.1	NC_085926.1	0	196431891	1	2	2
Pan_paniscus_ssp	NC_073252.2	NC_073252.2	0	188614375	2	2	2
Pan_paniscus_ssp	NC_073253.2	NC_073253.2	0	176551333	3	2	2
Pan_paniscus_ssp	NC_073254.2	NC_073254.2	0	191151712	4	2	2
Pan_paniscus_ssp	NC_073255.2	NC_073255.2	0	196309857	5	2	2
Pan_paniscus_ssp	NC_073256.2	NC_073256.2	0	162793952	6	2	2
Pan_paniscus_ssp	NC_073257.2	NC_073257.2	0	147028407	7	2	2
Pan_paniscus_ssp	NC_073258.2	NC_073258.2	0	135750398	8	2	2
Pan_paniscus_ssp	NC_073259.2	NC_073259.2	0	141815175	9	2	2
Pan_paniscus_ssp	NC_073260.2	NC_073260.2	0	124758961	10	2	2
Pan_paniscus_ssp	NC_073261.2	NC_073261.2	0	126551469	11	2	2
Pan_paniscus_ssp	NC_073262.2	NC_073262.2	0	144872268	12	2	2
Pan_paniscus_ssp	NC_073263.2	NC_073263.2	0	116126430	13	2	2
Pan_paniscus_ssp	NC_073264.2	NC_073264.2	0	108452746	14	2	2
Pan_paniscus_ssp	NC_073265.2	NC_073265.2	0	91859929	15	2	2
Pan_paniscus_ssp	NC_073266.2	NC_073266.2	0	98270466	16	2	2
Pan_paniscus_ssp	NC_073267.2	NC_073267.2	0	100427192	17	2	2
Pan_paniscus_ssp	NC_073268.2	NC_073268.2	0	100792412	18	2	2
Pan_paniscus_ssp	NC_073269.2	NC_073269.2	0	70721293	19	2	2
Pan_paniscus_ssp	NC_073270.2	NC_073270.2	0	76791327	20	2	2
Pan_paniscus_ssp	NC_073271.2	NC_073271.2	0	48483276	21	2	2
Pan_paniscus_ssp	NC_085927.1	NC_085927.1	0	65052380	22	2	2
Pan_paniscus_ssp	prePAR1	NC_073272.2	0	66616	23	2	1
Pan_paniscus_ssp	PAR1	NC_073272.2	66616	2524164	23	2	2
Pan_paniscus_ssp	betweenPARs	NC_073272.2	2524164	156404477	23	2	1
Pan_paniscus_ssp	PAR2	NC_073272.2	156404477	156498516	23	2	2
Pan_paniscus_ssp	postPAR2	NC_073272.2	156498516	160241051	23	2	1
Pan_paniscus_ssp	NC_073273.2	NC_073273.2	0	46954669	24	0	1
Pan_paniscus_ssp	NW_026946709.1	NW_026946709.1	0	93210	25	2	2
Pan_paniscus_ssp	NW_026946710.1	NW_026946710.1	0	56087	25	2	2
Pan_paniscus_ssp	NW_026946711.1	NW_026946711.1	0	50461	25	2	2
Pan_paniscus_ssp	NW_026946712.1	NW_026946712.1	0	25162	25	2	2
Pan_paniscus_ssp	NW_026946713.1	NW_026946713.1	0	155767	25	2	2
Pan_paniscus_ssp	NC_001644.1	NC_001644.1	0	16563	25	1	1
Pan_troglodytes_ssp	NC_072398.2	NC_072398.2	0	231299448	0	2	2
Pan_troglodytes_ssp	NC_086015.1	NC_086015.1	0	201579334	1	2	2
Pan_troglodytes_ssp	NC_072401.2	NC_072401.2	0	191670129	2	2	2
Pan_troglodytes_ssp	NC_072402.2	NC_072402.2	0	178964043	3	2	2
Pan_troglodytes_ssp	NC_072403.2	NC_072403.2	0	183320697	4	2	2
Pan_troglodytes_ssp	NC_072404.2	NC_072404.2	0	174648847	5	2	2
Pan_troglodytes_ssp	NC_072405.2	NC_072405.2	0	155691389	6	2	2
Pan_troglodytes_ssp	NC_072406.2	NC_072406.2	0	146288486	7	2	2
Pan_troglodytes_ssp	NC_072407.2	NC_072407.2	0	136991367	8	2	2
Pan_troglodytes_ssp	NC_072408.2	NC_072408.2	0	140160335	9	2	2
Pan_troglodytes_ssp	NC_072409.2	NC_072409.2	0	118863153	10	2	2
Pan_troglodytes_ssp	NC_072410.2	NC_072410.2	0	122853238	11	2	2
Pan_troglodytes_ssp	NC_072411.2	NC_072411.2	0	144476839	12	2	2
Pan_troglodytes_ssp	NC_072412.2	NC_072412.2	0	120149342	13	2	2
Pan_troglodytes_ssp	NC_072413.2	NC_072413.2	0	104701121	14	2	2
Pan_troglodytes_ssp	NC_072414.2	NC_072414.2	0	93846347	15	2	2
Pan_troglodytes_ssp	NC_072415.2	NC_072415.2	0	90695042	16	2	2
Pan_troglodytes_ssp	NC_072416.2	NC_072416.2	0	94528409	17	2	2
Pan_troglodytes_ssp	NC_072417.2	NC_072417.2	0	99595324	18	2	2
Pan_troglodytes_ssp	NC_072418.2	NC_072418.2	0	68087067	19	2	2
Pan_troglodytes_ssp	NC_072419.2	NC_072419.2	0	78115444	20	2	2
Pan_troglodytes_ssp	NC_072420.2	NC_072420.2	0	51350302	21	2	2
Pan_troglodytes_ssp	NC_086016.1	NC_086016.1	0	59520411	22	2	2
Pan_troglodytes_ssp	prePAR1	NC_072421.2	0	695967	23	2	1
Pan_troglodytes_ssp	PAR1	NC_072421.2	695967	3170188	23	2	2
Pan_troglodytes_ssp	postPAR1	NC_072421.2	3170188	153896354	23	2	1
Pan_troglodytes_ssp	NC_072422.2	NC_072422.2	0	36447294	24	0	1
Pan_troglodytes_ssp	NC_001643.1	NC_001643.1	0	16554	25	1	1
