REFERENCE_FOLDER	REGION	CONTIG_ID	START	END	BATCH	FEMALE_PLOIDY	MALE_PLOIDY
Nasalis_larvatus_ssp	CM106344.1	CM106344.1	0	167563589	0	2	1
Nasalis_larvatus_ssp	CM106345.1	CM106345.1	0	188808048	1	2	2
Nasalis_larvatus_ssp	CM106346.1	CM106346.1	0	152358370	2	2	2
Nasalis_larvatus_ssp	CM106347.1	CM106347.1	0	135457967	3	2	2
Nasalis_larvatus_ssp	CM106348.1	CM106348.1	0	133489124	4	2	2
Nasalis_larvatus_ssp	CM106349.1	CM106349.1	0	130494735	5	2	2
Nasalis_larvatus_ssp	CM106350.1	CM106350.1	0	93284589	6	2	2
Nasalis_larvatus_ssp	CM106351.1	CM106351.1	0	74392128	7	2	2
Nasalis_larvatus_ssp	CM106352.1	CM106352.1	0	99841183	8	2	2
Nasalis_larvatus_ssp	CM106353.1	CM106353.1	0	85778134	9	2	2
Nasalis_larvatus_ssp	CM106354.1	CM106354.1	0	96477449	10	2	2
Nasalis_larvatus_ssp	CM106355.1	CM106355.1	0	81098226	11	2	2
Nasalis_larvatus_ssp	CM106356.1	CM106356.1	0	88397919	12	2	2
Nasalis_larvatus_ssp	CM106357.1	CM106357.1	0	73962757	13	2	2
Nasalis_larvatus_ssp	CM106358.1	CM106358.1	0	60761253	14	2	2
Nasalis_larvatus_ssp	CM106359.1	CM106359.1	0	73632948	15	2	2
Nasalis_larvatus_ssp	CM106360.1	CM106360.1	0	136494831	16	2	2
Nasalis_larvatus_ssp	CM106361.1	CM106361.1	0	128176951	17	2	2
Nasalis_larvatus_ssp	CM106362.1	CM106362.1	0	153510232	18	2	2
Nasalis_larvatus_ssp	CM106363.1	CM106363.1	0	160731381	19	2	2
Nasalis_larvatus_ssp	CM106364.1	CM106364.1	0	117179943	20	2	2
Nasalis_larvatus_ssp	CM106365.1	CM106365.1	0	117142982	21	2	2
Nasalis_larvatus_ssp	CM106366.1	CM106366.1	0	198656150	22	2	2
Nasalis_larvatus_ssp	CM106367.1	CM106367.1	0	192652064	23	2	2
