REFERENCE_FOLDER	REGION	CONTIG_ID	START	END	BATCH	FEMALE_PLOIDY	MALE_PLOIDY
Mandrillus_sphinx_ssp	HiC_scaffold_1	HiC_scaffold_1	0	186190614	0	2	2
Mandrillus_sphinx_ssp	HiC_scaffold_2	HiC_scaffold_2	0	176838327	1	2	2
Mandrillus_sphinx_ssp	HiC_scaffold_3	HiC_scaffold_3	0	143010494	2	2	2
Mandrillus_sphinx_ssp	HiC_scaffold_4	HiC_scaffold_4	0	93123932	3	2	2
Mandrillus_sphinx_ssp	HiC_scaffold_5	HiC_scaffold_5	0	73149519	4	2	2
Mandrillus_sphinx_ssp	HiC_scaffold_6	HiC_scaffold_6	0	110284280	5	2	2
Mandrillus_sphinx_ssp	HiC_scaffold_7	HiC_scaffold_7	0	128880176	6	2	2
Mandrillus_sphinx_ssp	HiC_scaffold_8	HiC_scaffold_8	0	128905715	7	2	2
Mandrillus_sphinx_ssp	HiC_scaffold_9	HiC_scaffold_9	0	125457661	8	2	2
Mandrillus_sphinx_ssp	HiC_scaffold_10	HiC_scaffold_10	0	95302870	9	2	2
Mandrillus_sphinx_ssp	HiC_scaffold_11	HiC_scaffold_11	0	77025339	10	2	2
Mandrillus_sphinx_ssp	HiC_scaffold_12	HiC_scaffold_12	0	56142562	11	2	2
Mandrillus_sphinx_ssp	HiC_scaffold_13	HiC_scaffold_13	0	77458706	12	2	2
Mandrillus_sphinx_ssp	HiC_scaffold_14	HiC_scaffold_14	0	111816695	13	2	2
Mandrillus_sphinx_ssp	HiC_scaffold_15	HiC_scaffold_15	0	130959088	14	2	2
Mandrillus_sphinx_ssp	HiC_scaffold_16	HiC_scaffold_16	0	186411743	15	2	2
Mandrillus_sphinx_ssp	HiC_scaffold_17	HiC_scaffold_17	0	194742224	16	2	2
Mandrillus_sphinx_ssp	HiC_scaffold_18	HiC_scaffold_18	0	169382458	17	2	2
Mandrillus_sphinx_ssp	HiC_scaffold_19	HiC_scaffold_19	0	224375189	18	2	2
Mandrillus_sphinx_ssp	HiC_scaffold_20	HiC_scaffold_20	0	167651181	19	2	2
Mandrillus_sphinx_ssp	HiC_scaffold_21	HiC_scaffold_21	0	149088477	20	2	1
