REFERENCE_FOLDER	REGION	CONTIG_ID	START	END	BATCH	FEMALE_PLOIDY	MALE_PLOIDY
Callithrix_jacchus_ssp	NC_071442.1	NC_071442.1	0	216975769	0	2	2
Callithrix_jacchus_ssp	NC_071443.1	NC_071443.1	0	202808461	1	2	2
Callithrix_jacchus_ssp	NC_071444.1	NC_071444.1	0	189455076	2	2	2
Callithrix_jacchus_ssp	NC_071445.1	NC_071445.1	0	173414057	3	2	2
Callithrix_jacchus_ssp	NC_071446.1	NC_071446.1	0	161716902	4	2	2
Callithrix_jacchus_ssp	NC_071447.1	NC_071447.1	0	159674559	5	2	2
Callithrix_jacchus_ssp	NC_071448.1	NC_071448.1	0	156129252	6	2	2
Callithrix_jacchus_ssp	NC_071449.1	NC_071449.1	0	126104592	7	2	2
Callithrix_jacchus_ssp	NC_071450.1	NC_071450.1	0	132900640	8	2	2
Callithrix_jacchus_ssp	NC_071451.1	NC_071451.1	0	136971485	9	2	2
Callithrix_jacchus_ssp	NC_071452.1	NC_071452.1	0	128529401	10	2	2
Callithrix_jacchus_ssp	NC_071453.1	NC_071453.1	0	123697827	11	2	2
Callithrix_jacchus_ssp	NC_071454.1	NC_071454.1	0	117638787	12	2	2
Callithrix_jacchus_ssp	NC_071455.1	NC_071455.1	0	112969529	13	2	2
Callithrix_jacchus_ssp	NC_071456.1	NC_071456.1	0	98621277	14	2	2
Callithrix_jacchus_ssp	NC_071457.1	NC_071457.1	0	98110366	15	2	2
Callithrix_jacchus_ssp	NC_071458.1	NC_071458.1	0	74700100	16	2	2
Callithrix_jacchus_ssp	NC_071459.1	NC_071459.1	0	47063576	17	2	2
Callithrix_jacchus_ssp	NC_071460.1	NC_071460.1	0	50540917	18	2	2
Callithrix_jacchus_ssp	NC_071461.1	NC_071461.1	0	44412365	19	2	2
Callithrix_jacchus_ssp	NC_071462.1	NC_071462.1	0	50614742	20	2	2
Callithrix_jacchus_ssp	NC_071463.1	NC_071463.1	0	49900457	21	2	2
Callithrix_jacchus_ssp	NC_071464.1	NC_071464.1	0	146897247	22	2	1
Callithrix_jacchus_ssp	NW_026527885.1	NW_026527885.1	0	95879	23	2	1
Callithrix_jacchus_ssp	NW_026527886.1	NW_026527886.1	0	49303	23	2	1
Callithrix_jacchus_ssp	NW_026527887.1	NW_026527887.1	0	46763	23	2	1
Callithrix_jacchus_ssp	NW_026527888.1	NW_026527888.1	0	45658	23	2	1
Callithrix_jacchus_ssp	NW_026527889.1	NW_026527889.1	0	33897	23	2	1
Callithrix_jacchus_ssp	NW_026527890.1	NW_026527890.1	0	31835	23	2	1
Callithrix_jacchus_ssp	NW_026527891.1	NW_026527891.1	0	31203	23	2	1
Callithrix_jacchus_ssp	NW_026527892.1	NW_026527892.1	0	29991	23	2	1
Callithrix_jacchus_ssp	NW_026527893.1	NW_026527893.1	0	28803	23	2	1
Callithrix_jacchus_ssp	NW_026527894.1	NW_026527894.1	0	20338	23	2	1
Callithrix_jacchus_ssp	NW_026527895.1	NW_026527895.1	0	20229	23	2	1
Callithrix_jacchus_ssp	NW_026527896.1	NW_026527896.1	0	20074	23	2	1
Callithrix_jacchus_ssp	NW_026527897.1	NW_026527897.1	0	17761	23	2	1
Callithrix_jacchus_ssp	NW_026527898.1	NW_026527898.1	0	13900	23	2	1
Callithrix_jacchus_ssp	NW_026527899.1	NW_026527899.1	0	11904	23	2	1
Callithrix_jacchus_ssp	NC_071465.1	NC_071465.1	0	4974773	23	0	1
Callithrix_jacchus_ssp	NW_026527900.1	NW_026527900.1	0	51736	23	0	1
Callithrix_jacchus_ssp	NW_026527901.1	NW_026527901.1	0	35024	23	0	1
Callithrix_jacchus_ssp	NW_026527902.1	NW_026527902.1	0	32161	23	0	1
Callithrix_jacchus_ssp	NW_026527903.1	NW_026527903.1	0	19927	23	0	1
Callithrix_jacchus_ssp	NW_026527904.1	NW_026527904.1	0	43511	23	0	1
Callithrix_jacchus_ssp	NW_026527905.1	NW_026527905.1	0	35331	23	0	1
Callithrix_jacchus_ssp	NW_026527906.1	NW_026527906.1	0	104100	23	0	1
Callithrix_jacchus_ssp	NW_026527907.1	NW_026527907.1	0	104301	23	0	1
Callithrix_jacchus_ssp	NW_026527908.1	NW_026527908.1	0	35322	23	0	1
Callithrix_jacchus_ssp	NW_026527909.1	NW_026527909.1	0	62010	23	0	1
Callithrix_jacchus_ssp	NW_026527910.1	NW_026527910.1	0	39618	23	0	1
Callithrix_jacchus_ssp	NW_026527911.1	NW_026527911.1	0	85974	23	0	1
Callithrix_jacchus_ssp	NW_026527912.1	NW_026527912.1	0	46089	23	0	1
Callithrix_jacchus_ssp	NW_026527913.1	NW_026527913.1	0	51779	23	0	1
Callithrix_jacchus_ssp	NW_026527914.1	NW_026527914.1	0	27523	23	0	1
Callithrix_jacchus_ssp	NW_026527915.1	NW_026527915.1	0	50261	23	0	1
Callithrix_jacchus_ssp	NW_026527916.1	NW_026527916.1	0	62023	23	0	1
Callithrix_jacchus_ssp	NW_026527917.1	NW_026527917.1	0	22585	23	0	1
Callithrix_jacchus_ssp	NW_026527918.1	NW_026527918.1	0	74210	23	0	1
Callithrix_jacchus_ssp	NW_026527919.1	NW_026527919.1	0	50700	23	0	1
Callithrix_jacchus_ssp	NW_026527920.1	NW_026527920.1	0	31730	23	0	1
Callithrix_jacchus_ssp	NW_026527921.1	NW_026527921.1	0	48205	23	0	1
Callithrix_jacchus_ssp	NW_026527922.1	NW_026527922.1	0	83703	23	0	1
Callithrix_jacchus_ssp	NW_026527923.1	NW_026527923.1	0	46310	23	0	1
Callithrix_jacchus_ssp	NW_026527924.1	NW_026527924.1	0	26569	23	0	1
Callithrix_jacchus_ssp	NW_026527925.1	NW_026527925.1	0	34839	23	0	1
Callithrix_jacchus_ssp	NW_026527926.1	NW_026527926.1	0	49900	23	0	1
Callithrix_jacchus_ssp	NW_026527927.1	NW_026527927.1	0	75193	23	0	1
Callithrix_jacchus_ssp	NW_026527928.1	NW_026527928.1	0	58586	23	0	1
Callithrix_jacchus_ssp	NW_026527929.1	NW_026527929.1	0	40190	23	0	1
Callithrix_jacchus_ssp	NW_026527930.1	NW_026527930.1	0	36304	23	0	1
Callithrix_jacchus_ssp	NW_026527931.1	NW_026527931.1	0	42403	23	0	1
Callithrix_jacchus_ssp	NW_026527932.1	NW_026527932.1	0	103622	23	0	1
Callithrix_jacchus_ssp	NW_026527933.1	NW_026527933.1	0	80566	23	0	1
Callithrix_jacchus_ssp	NW_026527934.1	NW_026527934.1	0	49562	23	0	1
Callithrix_jacchus_ssp	NW_026527935.1	NW_026527935.1	0	43267	23	0	1
Callithrix_jacchus_ssp	NW_026527936.1	NW_026527936.1	0	28394	23	0	1
Callithrix_jacchus_ssp	NW_026527937.1	NW_026527937.1	0	50274	23	0	1
Callithrix_jacchus_ssp	NW_026527938.1	NW_026527938.1	0	118726	23	0	1
Callithrix_jacchus_ssp	NW_026527939.1	NW_026527939.1	0	40067	23	0	1
Callithrix_jacchus_ssp	NW_026527940.1	NW_026527940.1	0	56109	23	0	1
Callithrix_jacchus_ssp	NW_026527941.1	NW_026527941.1	0	128013	23	0	1
Callithrix_jacchus_ssp	NW_026527942.1	NW_026527942.1	0	112980	23	0	1
Callithrix_jacchus_ssp	NW_026527943.1	NW_026527943.1	0	45594	23	0	1
Callithrix_jacchus_ssp	NW_026527944.1	NW_026527944.1	0	49578	23	0	1
Callithrix_jacchus_ssp	NW_026527945.1	NW_026527945.1	0	54979	23	0	1
Callithrix_jacchus_ssp	NW_026527946.1	NW_026527946.1	0	33950	23	0	1
Callithrix_jacchus_ssp	NW_026527947.1	NW_026527947.1	0	45734	23	0	1
Callithrix_jacchus_ssp	NW_026527948.1	NW_026527948.1	0	76229	23	0	1
Callithrix_jacchus_ssp	NW_026527949.1	NW_026527949.1	0	77632	23	0	1
Callithrix_jacchus_ssp	NW_026527950.1	NW_026527950.1	0	69350	23	0	1
Callithrix_jacchus_ssp	NW_026527951.1	NW_026527951.1	0	231563	23	0	1
Callithrix_jacchus_ssp	NW_026527952.1	NW_026527952.1	0	106915	23	0	1
Callithrix_jacchus_ssp	NW_026527953.1	NW_026527953.1	0	42677	23	0	1
Callithrix_jacchus_ssp	NW_026527954.1	NW_026527954.1	0	115629	23	0	1
Callithrix_jacchus_ssp	NW_026527955.1	NW_026527955.1	0	95816	23	0	1
Callithrix_jacchus_ssp	NW_026527956.1	NW_026527956.1	0	36895	23	0	1
Callithrix_jacchus_ssp	NW_026527957.1	NW_026527957.1	0	75465	23	0	1
Callithrix_jacchus_ssp	NW_026527958.1	NW_026527958.1	0	31035	23	0	1
Callithrix_jacchus_ssp	NW_026527959.1	NW_026527959.1	0	55050	23	0	1
Callithrix_jacchus_ssp	NW_026527960.1	NW_026527960.1	0	87678	23	0	1
Callithrix_jacchus_ssp	NW_026527961.1	NW_026527961.1	0	97668	23	0	1
Callithrix_jacchus_ssp	NW_026527962.1	NW_026527962.1	0	57587	23	0	1
Callithrix_jacchus_ssp	NW_026527963.1	NW_026527963.1	0	47038	23	0	1
Callithrix_jacchus_ssp	NW_026527964.1	NW_026527964.1	0	61662	23	0	1
Callithrix_jacchus_ssp	NW_026527965.1	NW_026527965.1	0	62656	23	0	1
Callithrix_jacchus_ssp	NW_026527966.1	NW_026527966.1	0	1080123	23	0	1
Callithrix_jacchus_ssp	NW_026527967.1	NW_026527967.1	0	236522	23	0	1
Callithrix_jacchus_ssp	NW_026527968.1	NW_026527968.1	0	1024496	23	0	1
Callithrix_jacchus_ssp	NW_026527969.1	NW_026527969.1	0	50861	23	0	1
Callithrix_jacchus_ssp	NW_026527970.1	NW_026527970.1	0	41357	23	0	1
