REFERENCE_FOLDER	REGION	CONTIG_ID	START	END	BATCH	FEMALE_PLOIDY	MALE_PLOIDY
Theropithecus_gelada_ssp	NC_037668.1	NC_037668.1	0	222973213	0	2	2
Theropithecus_gelada_ssp	NC_037669.1	NC_037669.1	0	194193292	1	2	2
Theropithecus_gelada_ssp	NC_037670.1	NC_037670.1	0	183260707	2	2	2
Theropithecus_gelada_ssp	NC_037671.1	NC_037671.1	0	170232041	3	2	2
Theropithecus_gelada_ssp	NC_037672.1	NC_037672.1	0	186847797	4	2	2
Theropithecus_gelada_ssp	NC_037673.1	NC_037673.1	0	177691375	5	2	2
Theropithecus_gelada_ssp	NC_037674.1	NC_037674.1	0	58689410	6	2	2
Theropithecus_gelada_ssp	NC_037675.1	NC_037675.1	0	108639790	7	2	2
Theropithecus_gelada_ssp	NC_037676.1	NC_037676.1	0	147341205	8	2	2
Theropithecus_gelada_ssp	NC_037677.1	NC_037677.1	0	130230028	9	2	2
Theropithecus_gelada_ssp	NC_037678.1	NC_037678.1	0	96765312	10	2	2
Theropithecus_gelada_ssp	NC_037679.1	NC_037679.1	0	129236938	11	2	2
Theropithecus_gelada_ssp	NC_037680.1	NC_037680.1	0	118892792	12	2	2
Theropithecus_gelada_ssp	NC_037681.1	NC_037681.1	0	107931652	13	2	2
Theropithecus_gelada_ssp	NC_037682.1	NC_037682.1	0	126097711	14	2	2
Theropithecus_gelada_ssp	NC_037683.1	NC_037683.1	0	111397652	15	2	2
Theropithecus_gelada_ssp	NC_037684.1	NC_037684.1	0	77165238	16	2	2
Theropithecus_gelada_ssp	NC_037685.1	NC_037685.1	0	92848679	17	2	2
Theropithecus_gelada_ssp	NC_037686.1	NC_037686.1	0	72621969	18	2	2
Theropithecus_gelada_ssp	NC_037687.1	NC_037687.1	0	58110696	19	2	2
Theropithecus_gelada_ssp	NC_037688.1	NC_037688.1	0	77542005	20	2	2
Theropithecus_gelada_ssp	NC_037689.1	NC_037689.1	0	153451627	21	2	1
Theropithecus_gelada_ssp	NW_020251526.1	NW_020251526.1	0	7929	22	2	2
Theropithecus_gelada_ssp	NW_020251527.1	NW_020251527.1	0	1631	22	2	2
Theropithecus_gelada_ssp	NW_020251528.1	NW_020251528.1	0	1631	22	2	2
Theropithecus_gelada_ssp	NW_020251529.1	NW_020251529.1	0	1631	22	2	2
Theropithecus_gelada_ssp	NW_020251530.1	NW_020251530.1	0	1631	22	2	2
Theropithecus_gelada_ssp	NW_020251531.1	NW_020251531.1	0	1630	22	2	2
Theropithecus_gelada_ssp	NW_020251532.1	NW_020251532.1	0	1630	22	2	2
Theropithecus_gelada_ssp	NW_020251533.1	NW_020251533.1	0	1630	22	2	2
Theropithecus_gelada_ssp	NW_020251534.1	NW_020251534.1	0	1630	22	2	2
Theropithecus_gelada_ssp	NW_020251535.1	NW_020251535.1	0	7927	22	2	2
Theropithecus_gelada_ssp	NW_020251536.1	NW_020251536.1	0	1630	22	2	2
Theropithecus_gelada_ssp	NW_020251537.1	NW_020251537.1	0	1630	22	2	2
Theropithecus_gelada_ssp	NW_020251538.1	NW_020251538.1	0	1629	22	2	2
Theropithecus_gelada_ssp	NW_020251539.1	NW_020251539.1	0	1629	22	2	2
Theropithecus_gelada_ssp	NW_020251540.1	NW_020251540.1	0	1628	22	2	2
Theropithecus_gelada_ssp	NW_020251541.1	NW_020251541.1	0	1628	22	2	2
Theropithecus_gelada_ssp	NW_020251542.1	NW_020251542.1	0	1629	22	2	2
Theropithecus_gelada_ssp	NW_020251543.1	NW_020251543.1	0	1628	22	2	2
Theropithecus_gelada_ssp	NW_020251544.1	NW_020251544.1	0	1628	22	2	2
Theropithecus_gelada_ssp	NW_020251545.1	NW_020251545.1	0	1628	22	2	2
Theropithecus_gelada_ssp	NW_020251546.1	NW_020251546.1	0	7927	22	2	2
Theropithecus_gelada_ssp	NW_020251547.1	NW_020251547.1	0	1629	22	2	2
Theropithecus_gelada_ssp	NW_020251548.1	NW_020251548.1	0	1628	22	2	2
Theropithecus_gelada_ssp	NW_020251549.1	NW_020251549.1	0	1627	22	2	2
Theropithecus_gelada_ssp	NW_020251550.1	NW_020251550.1	0	1627	22	2	2
Theropithecus_gelada_ssp	NW_020251551.1	NW_020251551.1	0	1627	22	2	2
Theropithecus_gelada_ssp	NW_020251552.1	NW_020251552.1	0	1627	22	2	2
Theropithecus_gelada_ssp	NW_020251553.1	NW_020251553.1	0	1627	22	2	2
Theropithecus_gelada_ssp	NW_020251554.1	NW_020251554.1	0	1626	22	2	2
Theropithecus_gelada_ssp	NW_020251555.1	NW_020251555.1	0	7925	22	2	2
Theropithecus_gelada_ssp	NW_020251556.1	NW_020251556.1	0	1627	22	2	2
Theropithecus_gelada_ssp	NW_020251557.1	NW_020251557.1	0	1626	22	2	2
Theropithecus_gelada_ssp	NW_020251558.1	NW_020251558.1	0	1626	22	2	2
Theropithecus_gelada_ssp	NW_020251559.1	NW_020251559.1	0	1625	22	2	2
Theropithecus_gelada_ssp	NW_020251560.1	NW_020251560.1	0	1625	22	2	2
Theropithecus_gelada_ssp	NW_020251561.1	NW_020251561.1	0	1625	22	2	2
Theropithecus_gelada_ssp	NW_020251562.1	NW_020251562.1	0	1625	22	2	2
Theropithecus_gelada_ssp	NW_020251563.1	NW_020251563.1	0	1625	22	2	2
