REFERENCE_FOLDER	REGION	CONTIG_ID	START	END	BATCH	FEMALE_PLOIDY	MALE_PLOIDY
Allenopithecus_nigroviridis_ssp	HiC_scaffold_1	HiC_scaffold_1	0	132264030	0	2	1
Allenopithecus_nigroviridis_ssp	HiC_scaffold_2	HiC_scaffold_2	0	114367930	1	2	2
Allenopithecus_nigroviridis_ssp	HiC_scaffold_3	HiC_scaffold_3	0	83703193	2	2	2
Allenopithecus_nigroviridis_ssp	HiC_scaffold_4	HiC_scaffold_4	0	68352201	3	2	2
Allenopithecus_nigroviridis_ssp	HiC_scaffold_5	HiC_scaffold_5	0	29743482	4	2	2
Allenopithecus_nigroviridis_ssp	HiC_scaffold_6	HiC_scaffold_6	0	130436357	4	2	2
Allenopithecus_nigroviridis_ssp	HiC_scaffold_7	HiC_scaffold_7	0	39541252	5	2	2
Allenopithecus_nigroviridis_ssp	HiC_scaffold_8	HiC_scaffold_8	0	68035352	6	2	2
Allenopithecus_nigroviridis_ssp	HiC_scaffold_9	HiC_scaffold_9	0	42676822	7	2	2
Allenopithecus_nigroviridis_ssp	HiC_scaffold_11	HiC_scaffold_11	0	118705685	8	2	2
Allenopithecus_nigroviridis_ssp	HiC_scaffold_12	HiC_scaffold_12	0	85484296	9	2	2
Allenopithecus_nigroviridis_ssp	HiC_scaffold_13	HiC_scaffold_13	0	84253057	10	2	2
Allenopithecus_nigroviridis_ssp	HiC_scaffold_14	HiC_scaffold_14	0	67966000	11	2	2
Allenopithecus_nigroviridis_ssp	HiC_scaffold_15	HiC_scaffold_15	0	93636631	12	2	2
Allenopithecus_nigroviridis_ssp	HiC_scaffold_16	HiC_scaffold_16	0	119957108	13	2	2
Allenopithecus_nigroviridis_ssp	HiC_scaffold_17	HiC_scaffold_17	0	161743863	14	2	2
Allenopithecus_nigroviridis_ssp	HiC_scaffold_18	HiC_scaffold_18	0	136222381	15	2	2
Allenopithecus_nigroviridis_ssp	HiC_scaffold_19	HiC_scaffold_19	0	119237272	16	2	2
Allenopithecus_nigroviridis_ssp	HiC_scaffold_20	HiC_scaffold_20	0	115073448	17	2	2
Allenopithecus_nigroviridis_ssp	HiC_scaffold_21	HiC_scaffold_21	0	203016725	18	2	2
