REFERENCE_FOLDER	REGION	CONTIG_ID	START	END	BATCH	FEMALE_PLOIDY	MALE_PLOIDY
Pithecia_pithecia_ssp	CM052624.1	CM052624.1	0	176542185	0	2	2
Pithecia_pithecia_ssp	CM052625.1	CM052625.1	0	161924264	1	2	2
Pithecia_pithecia_ssp	CM052626.1	CM052626.1	0	146644557	2	2	2
Pithecia_pithecia_ssp	CM052627.1	CM052627.1	0	144431753	3	2	2
Pithecia_pithecia_ssp	CM052628.1	CM052628.1	0	132938456	4	2	2
Pithecia_pithecia_ssp	CM052629.1	CM052629.1	0	117534462	5	2	2
Pithecia_pithecia_ssp	CM052630.1	CM052630.1	0	113617926	6	2	2
Pithecia_pithecia_ssp	CM052631.1	CM052631.1	0	111852555	7	2	2
Pithecia_pithecia_ssp	CM052632.1	CM052632.1	0	108767370	8	2	2
Pithecia_pithecia_ssp	CM052633.1	CM052633.1	0	106397115	9	2	2
Pithecia_pithecia_ssp	CM052634.1	CM052634.1	0	103980617	10	2	2
Pithecia_pithecia_ssp	CM052635.1	CM052635.1	0	101604611	11	2	2
Pithecia_pithecia_ssp	CM052636.1	CM052636.1	0	95387274	12	2	2
Pithecia_pithecia_ssp	CM052637.1	CM052637.1	0	88318672	13	2	2
Pithecia_pithecia_ssp	CM052638.1	CM052638.1	0	86407869	14	2	2
Pithecia_pithecia_ssp	CM052639.1	CM052639.1	0	83946998	15	2	2
Pithecia_pithecia_ssp	CM052640.1	CM052640.1	0	82658968	16	2	2
Pithecia_pithecia_ssp	CM052641.1	CM052641.1	0	67173463	17	2	2
Pithecia_pithecia_ssp	CM052642.1	CM052642.1	0	64770895	18	2	2
Pithecia_pithecia_ssp	CM052643.1	CM052643.1	0	52281573	19	2	2
Pithecia_pithecia_ssp	CM052644.1	CM052644.1	0	43431190	20	2	2
Pithecia_pithecia_ssp	CM052645.1	CM052645.1	0	41534460	21	2	2
Pithecia_pithecia_ssp	CM052646.1	CM052646.1	0	40188883	22	2	2
Pithecia_pithecia_ssp	CM052647.1	CM052647.1	0	129401585	23	2	1
Pithecia_pithecia_ssp	JAPYXZ010000025.1	JAPYXZ010000025.1	0	1035140	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000026.1	JAPYXZ010000026.1	0	363165	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000027.1	JAPYXZ010000027.1	0	334157	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000028.1	JAPYXZ010000028.1	0	308144	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000029.1	JAPYXZ010000029.1	0	304542	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000030.1	JAPYXZ010000030.1	0	261131	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000031.1	JAPYXZ010000031.1	0	259265	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000032.1	JAPYXZ010000032.1	0	234548	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000033.1	JAPYXZ010000033.1	0	191726	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000034.1	JAPYXZ010000034.1	0	155745	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000035.1	JAPYXZ010000035.1	0	138903	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000036.1	JAPYXZ010000036.1	0	118725	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000037.1	JAPYXZ010000037.1	0	98644	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000038.1	JAPYXZ010000038.1	0	89636	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000039.1	JAPYXZ010000039.1	0	79869	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000040.1	JAPYXZ010000040.1	0	64344	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000041.1	JAPYXZ010000041.1	0	43439	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000042.1	JAPYXZ010000042.1	0	788304	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000043.1	JAPYXZ010000043.1	0	555199	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000044.1	JAPYXZ010000044.1	0	524649	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000045.1	JAPYXZ010000045.1	0	521848	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000046.1	JAPYXZ010000046.1	0	389467	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000047.1	JAPYXZ010000047.1	0	404900	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000048.1	JAPYXZ010000048.1	0	260191	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000049.1	JAPYXZ010000049.1	0	48229	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000050.1	JAPYXZ010000050.1	0	250536	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000051.1	JAPYXZ010000051.1	0	1000	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000052.1	JAPYXZ010000052.1	0	2000	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000053.1	JAPYXZ010000053.1	0	1264	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000054.1	JAPYXZ010000054.1	0	1873	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000055.1	JAPYXZ010000055.1	0	1743	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000056.1	JAPYXZ010000056.1	0	2210	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000057.1	JAPYXZ010000057.1	0	1107	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000058.1	JAPYXZ010000058.1	0	1000	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000059.1	JAPYXZ010000059.1	0	3000	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000060.1	JAPYXZ010000060.1	0	2000	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000061.1	JAPYXZ010000061.1	0	1225	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000062.1	JAPYXZ010000062.1	0	201311	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000063.1	JAPYXZ010000063.1	0	1962	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000064.1	JAPYXZ010000064.1	0	3000	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000065.1	JAPYXZ010000065.1	0	17039	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000066.1	JAPYXZ010000066.1	0	115279	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000067.1	JAPYXZ010000067.1	0	70457	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000068.1	JAPYXZ010000068.1	0	21691	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000069.1	JAPYXZ010000069.1	0	21261	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000070.1	JAPYXZ010000070.1	0	105505	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000071.1	JAPYXZ010000071.1	0	120207	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000072.1	JAPYXZ010000072.1	0	71641	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000073.1	JAPYXZ010000073.1	0	64472	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000074.1	JAPYXZ010000074.1	0	3790	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000075.1	JAPYXZ010000075.1	0	2000	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000076.1	JAPYXZ010000076.1	0	1137	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000077.1	JAPYXZ010000077.1	0	1000	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000078.1	JAPYXZ010000078.1	0	1000	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000079.1	JAPYXZ010000079.1	0	1151	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000080.1	JAPYXZ010000080.1	0	1607	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000081.1	JAPYXZ010000081.1	0	2000	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000082.1	JAPYXZ010000082.1	0	1000	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000083.1	JAPYXZ010000083.1	0	1054	24	2	2
Pithecia_pithecia_ssp	JAPYXZ010000084.1	JAPYXZ010000084.1	0	1549	24	2	2
