REFERENCE_FOLDER	REGION	CONTIG_ID	START	END	BATCH	FEMALE_PLOIDY	MALE_PLOIDY
Plecturocebus_cupreus_ssp	CM080815.1	CM080815.1	0	235103535	0	2	2
Plecturocebus_cupreus_ssp	CM080816.1	CM080816.1	0	158738102	1	2	2
Plecturocebus_cupreus_ssp	CM080817.1	CM080817.1	0	165937890	2	2	2
Plecturocebus_cupreus_ssp	CM080818.1	CM080818.1	0	151623469	3	2	2
Plecturocebus_cupreus_ssp	CM080819.1	CM080819.1	0	150993727	4	2	2
Plecturocebus_cupreus_ssp	CM080820.1	CM080820.1	0	123740199	5	2	2
Plecturocebus_cupreus_ssp	CM080821.1	CM080821.1	0	135512294	6	2	2
Plecturocebus_cupreus_ssp	CM080822.1	CM080822.1	0	116834941	7	2	2
Plecturocebus_cupreus_ssp	CM080823.1	CM080823.1	0	101234152	8	2	2
Plecturocebus_cupreus_ssp	CM080824.1	CM080824.1	0	75878286	9	2	2
Plecturocebus_cupreus_ssp	CM080825.1	CM080825.1	0	49373254	10	2	2
Plecturocebus_cupreus_ssp	CM080826.1	CM080826.1	0	231176762	11	2	2
Plecturocebus_cupreus_ssp	CM080827.1	CM080827.1	0	118029634	12	2	2
Plecturocebus_cupreus_ssp	CM080828.1	CM080828.1	0	130776705	13	2	2
Plecturocebus_cupreus_ssp	CM080829.1	CM080829.1	0	95533141	14	2	2
Plecturocebus_cupreus_ssp	CM080830.1	CM080830.1	0	94172006	15	2	2
Plecturocebus_cupreus_ssp	CM080831.1	CM080831.1	0	73180778	16	2	2
Plecturocebus_cupreus_ssp	CM080832.1	CM080832.1	0	92880398	17	2	2
Plecturocebus_cupreus_ssp	CM080833.1	CM080833.1	0	65768754	18	2	2
Plecturocebus_cupreus_ssp	CM080834.1	CM080834.1	0	91752637	19	2	2
Plecturocebus_cupreus_ssp	CM080835.1	CM080835.1	0	73432007	20	2	2
Plecturocebus_cupreus_ssp	CM080836.1	CM080836.1	0	44717611	21	2	2
Plecturocebus_cupreus_ssp	CM080837.1	CM080837.1	0	137505135	22	2	1
Plecturocebus_cupreus_ssp	JBDJOS010000024.1	JBDJOS010000024.1	0	747422	23	2	2
Plecturocebus_cupreus_ssp	JBDJOS010000033.1	JBDJOS010000033.1	0	328863	23	2	2
Plecturocebus_cupreus_ssp	JBDJOS010000123.1	JBDJOS010000123.1	0	113078	23	2	2
Plecturocebus_cupreus_ssp	JBDJOS010001023.1	JBDJOS010001023.1	0	5051	23	2	2
Plecturocebus_cupreus_ssp	JBDJOS010001024.1	JBDJOS010001024.1	0	5046	23	2	2
