REFERENCE_FOLDER	REGION	CONTIG_ID	START	END	BATCH	FEMALE_PLOIDY	MALE_PLOIDY
Nomascus_leucogenys_ssp	NC_044381.1	NC_044381.1	0	107395155	0	2	2
Nomascus_leucogenys_ssp	NC_044382.1	NC_044382.1	0	156228797	1	2	2
Nomascus_leucogenys_ssp	NC_044383.1	NC_044383.1	0	156076922	2	2	2
Nomascus_leucogenys_ssp	NC_044384.1	NC_044384.1	0	150142476	3	2	2
Nomascus_leucogenys_ssp	NC_044385.1	NC_044385.1	0	140329754	4	2	2
Nomascus_leucogenys_ssp	NC_044386.1	NC_044386.1	0	120667183	5	2	2
Nomascus_leucogenys_ssp	NC_044387.1	NC_044387.1	0	110100252	6	2	2
Nomascus_leucogenys_ssp	NC_044388.1	NC_044388.1	0	113958799	7	2	2
Nomascus_leucogenys_ssp	NC_044389.1	NC_044389.1	0	115106850	8	2	2
Nomascus_leucogenys_ssp	NC_044390.1	NC_044390.1	0	100286876	9	2	2
Nomascus_leucogenys_ssp	NC_044391.1	NC_044391.1	0	119215260	10	2	2
Nomascus_leucogenys_ssp	NC_044392.1	NC_044392.1	0	106591116	11	2	2
Nomascus_leucogenys_ssp	NC_044393.1	NC_044393.1	0	107515305	12	2	2
Nomascus_leucogenys_ssp	NC_044394.1	NC_044394.1	0	93002606	13	2	2
Nomascus_leucogenys_ssp	NC_044395.1	NC_044395.1	0	108380097	14	2	2
Nomascus_leucogenys_ssp	NC_044396.1	NC_044396.1	0	95763020	15	2	2
Nomascus_leucogenys_ssp	NC_044397.1	NC_044397.1	0	94852167	16	2	2
Nomascus_leucogenys_ssp	NC_044398.1	NC_044398.1	0	103066776	17	2	2
Nomascus_leucogenys_ssp	NC_044399.1	NC_044399.1	0	77458999	18	2	2
Nomascus_leucogenys_ssp	NC_044400.1	NC_044400.1	0	83606217	19	2	2
Nomascus_leucogenys_ssp	NC_044401.1	NC_044401.1	0	82859782	20	2	2
Nomascus_leucogenys_ssp	NC_044402.1	NC_044402.1	0	142313534	21	2	2
Nomascus_leucogenys_ssp	NC_044403.1	NC_044403.1	0	34473784	22	2	2
Nomascus_leucogenys_ssp	NC_044404.1	NC_044404.1	0	29689981	23	2	2
Nomascus_leucogenys_ssp	NC_044405.1	NC_044405.1	0	31549279	23	2	2
Nomascus_leucogenys_ssp	NC_044406.1	NC_044406.1	0	140746522	24	2	1
Nomascus_leucogenys_ssp	NW_022095767.1	NW_022095767.1	0	3854898	25	2	2
Nomascus_leucogenys_ssp	NW_022095768.1	NW_022095768.1	0	3265213	25	2	2
Nomascus_leucogenys_ssp	NW_022095769.1	NW_022095769.1	0	5731653	25	2	2
Nomascus_leucogenys_ssp	NW_022095770.1	NW_022095770.1	0	4283975	25	2	2
Nomascus_leucogenys_ssp	NW_022095771.1	NW_022095771.1	0	903580	25	2	2
Nomascus_leucogenys_ssp	NW_022095772.1	NW_022095772.1	0	1691275	25	2	2
Nomascus_leucogenys_ssp	NW_022095773.1	NW_022095773.1	0	185741	25	2	2
Nomascus_leucogenys_ssp	NW_022095774.1	NW_022095774.1	0	436733	25	2	2
Nomascus_leucogenys_ssp	NW_022095775.1	NW_022095775.1	0	384435	25	2	2
Nomascus_leucogenys_ssp	NW_022095776.1	NW_022095776.1	0	859030	25	2	2
Nomascus_leucogenys_ssp	NW_022095777.1	NW_022095777.1	0	281969	25	2	2
Nomascus_leucogenys_ssp	NW_022095778.1	NW_022095778.1	0	269932	25	2	2
Nomascus_leucogenys_ssp	NW_022095779.1	NW_022095779.1	0	256371	25	2	2
Nomascus_leucogenys_ssp	NW_022095780.1	NW_022095780.1	0	1011705	25	2	2
Nomascus_leucogenys_ssp	NW_022095781.1	NW_022095781.1	0	232904	25	2	2
Nomascus_leucogenys_ssp	NW_022095782.1	NW_022095782.1	0	217643	25	2	2
Nomascus_leucogenys_ssp	NW_022095783.1	NW_022095783.1	0	347056	25	2	2
Nomascus_leucogenys_ssp	NW_022095784.1	NW_022095784.1	0	506535	25	2	2
Nomascus_leucogenys_ssp	NW_022095785.1	NW_022095785.1	0	177410	25	2	2
Nomascus_leucogenys_ssp	NW_022095786.1	NW_022095786.1	0	153447	25	2	2
Nomascus_leucogenys_ssp	NW_022095787.1	NW_022095787.1	0	247452	25	2	2
Nomascus_leucogenys_ssp	NW_022095788.1	NW_022095788.1	0	917969	25	2	2
Nomascus_leucogenys_ssp	NW_022095789.1	NW_022095789.1	0	2217251	25	2	2
Nomascus_leucogenys_ssp	NW_022095790.1	NW_022095790.1	0	578735	25	2	2
Nomascus_leucogenys_ssp	NW_022095791.1	NW_022095791.1	0	128864	25	2	2
Nomascus_leucogenys_ssp	NW_022095792.1	NW_022095792.1	0	22562	25	2	2
Nomascus_leucogenys_ssp	NW_022095793.1	NW_022095793.1	0	29180	25	2	2
Nomascus_leucogenys_ssp	NW_022095794.1	NW_022095794.1	0	34706	25	2	2
Nomascus_leucogenys_ssp	NW_022095795.1	NW_022095795.1	0	10984	25	2	2
Nomascus_leucogenys_ssp	NW_022095796.1	NW_022095796.1	0	50258	25	2	2
Nomascus_leucogenys_ssp	NW_022095797.1	NW_022095797.1	0	38734	25	2	2
Nomascus_leucogenys_ssp	NW_022095798.1	NW_022095798.1	0	58540	25	2	2
Nomascus_leucogenys_ssp	NW_022095799.1	NW_022095799.1	0	19701	25	2	2
Nomascus_leucogenys_ssp	NW_022095800.1	NW_022095800.1	0	1884	25	2	2
Nomascus_leucogenys_ssp	NW_022095801.1	NW_022095801.1	0	24616	25	2	2
Nomascus_leucogenys_ssp	NW_022095802.1	NW_022095802.1	0	45387	25	2	2
Nomascus_leucogenys_ssp	NW_022095803.1	NW_022095803.1	0	114889	25	2	2
Nomascus_leucogenys_ssp	NW_022095804.1	NW_022095804.1	0	39807	25	2	2
Nomascus_leucogenys_ssp	NW_022095805.1	NW_022095805.1	0	5230	25	2	2
Nomascus_leucogenys_ssp	NW_022095806.1	NW_022095806.1	0	53701	25	2	2
Nomascus_leucogenys_ssp	NW_022095807.1	NW_022095807.1	0	15879	25	2	2
Nomascus_leucogenys_ssp	NW_022095808.1	NW_022095808.1	0	29546	25	2	2
Nomascus_leucogenys_ssp	NW_022095809.1	NW_022095809.1	0	30478	25	2	2
Nomascus_leucogenys_ssp	NW_022095810.1	NW_022095810.1	0	113235	25	2	2
Nomascus_leucogenys_ssp	NW_022095811.1	NW_022095811.1	0	45458	25	2	2
Nomascus_leucogenys_ssp	NW_022095812.1	NW_022095812.1	0	13693	25	2	2
Nomascus_leucogenys_ssp	NW_022095813.1	NW_022095813.1	0	29435	25	2	2
Nomascus_leucogenys_ssp	NW_022095814.1	NW_022095814.1	0	108481	25	2	2
Nomascus_leucogenys_ssp	NW_022095815.1	NW_022095815.1	0	17519	26	2	2
Nomascus_leucogenys_ssp	NW_022095816.1	NW_022095816.1	0	23907	26	2	2
Nomascus_leucogenys_ssp	NW_022095817.1	NW_022095817.1	0	12678	26	2	2
Nomascus_leucogenys_ssp	NW_022095818.1	NW_022095818.1	0	19883	26	2	2
Nomascus_leucogenys_ssp	NW_022095819.1	NW_022095819.1	0	8523	26	2	2
Nomascus_leucogenys_ssp	NW_022095820.1	NW_022095820.1	0	32638	26	2	2
Nomascus_leucogenys_ssp	NW_022095821.1	NW_022095821.1	0	78091	26	2	2
Nomascus_leucogenys_ssp	NW_022095822.1	NW_022095822.1	0	51496	26	2	2
Nomascus_leucogenys_ssp	NW_022095823.1	NW_022095823.1	0	7302	26	2	2
Nomascus_leucogenys_ssp	NW_022095824.1	NW_022095824.1	0	27302	26	2	2
Nomascus_leucogenys_ssp	NW_022095825.1	NW_022095825.1	0	15274	26	2	2
Nomascus_leucogenys_ssp	NW_022095826.1	NW_022095826.1	0	41854	26	2	2
Nomascus_leucogenys_ssp	NW_022095827.1	NW_022095827.1	0	23604	26	2	2
Nomascus_leucogenys_ssp	NW_022095828.1	NW_022095828.1	0	5983	26	2	2
Nomascus_leucogenys_ssp	NW_022095829.1	NW_022095829.1	0	5279	26	2	2
Nomascus_leucogenys_ssp	NW_022095830.1	NW_022095830.1	0	51293	26	2	2
Nomascus_leucogenys_ssp	NW_022095831.1	NW_022095831.1	0	35904	26	2	2
Nomascus_leucogenys_ssp	NW_022095832.1	NW_022095832.1	0	6283	26	2	2
Nomascus_leucogenys_ssp	NW_022095833.1	NW_022095833.1	0	44970	26	2	2
Nomascus_leucogenys_ssp	NW_022095834.1	NW_022095834.1	0	81933	26	2	2
Nomascus_leucogenys_ssp	NW_022095835.1	NW_022095835.1	0	6794	26	2	2
Nomascus_leucogenys_ssp	NW_022095836.1	NW_022095836.1	0	7589	26	2	2
Nomascus_leucogenys_ssp	NW_022095837.1	NW_022095837.1	0	48134	26	2	2
Nomascus_leucogenys_ssp	NW_022095838.1	NW_022095838.1	0	10973	26	2	2
Nomascus_leucogenys_ssp	NW_022095839.1	NW_022095839.1	0	11226	26	2	2
Nomascus_leucogenys_ssp	NW_022095840.1	NW_022095840.1	0	13862	26	2	2
Nomascus_leucogenys_ssp	NW_022095841.1	NW_022095841.1	0	52264	26	2	2
