REFERENCE_FOLDER	REGION	CONTIG_ID	START	END	BATCH	FEMALE_PLOIDY	MALE_PLOIDY
Daubentonia_madagascariensis_ssp	JBFSEQ010000001.1	JBFSEQ010000001.1	0	316165773	0	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000010.1	JBFSEQ010000010.1	0	114896738	1	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000100.1	JBFSEQ010000100.1	0	70479	2	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000101.1	JBFSEQ010000101.1	0	69993	2	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000102.1	JBFSEQ010000102.1	0	69631	2	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000103.1	JBFSEQ010000103.1	0	69257	2	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000104.1	JBFSEQ010000104.1	0	68547	2	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000105.1	JBFSEQ010000105.1	0	67771	2	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000106.1	JBFSEQ010000106.1	0	67479	2	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000107.1	JBFSEQ010000107.1	0	66837	2	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000108.1	JBFSEQ010000108.1	0	66656	2	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000109.1	JBFSEQ010000109.1	0	66039	2	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000011.1	JBFSEQ010000011.1	0	102076017	2	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000110.1	JBFSEQ010000110.1	0	65571	3	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000111.1	JBFSEQ010000111.1	0	65270	3	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000112.1	JBFSEQ010000112.1	0	64323	3	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000113.1	JBFSEQ010000113.1	0	63792	3	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000114.1	JBFSEQ010000114.1	0	63303	3	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000115.1	JBFSEQ010000115.1	0	63228	3	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000116.1	JBFSEQ010000116.1	0	62771	3	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000117.1	JBFSEQ010000117.1	0	62690	3	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000118.1	JBFSEQ010000118.1	0	62222	3	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000119.1	JBFSEQ010000119.1	0	61727	3	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000012.1	JBFSEQ010000012.1	0	67301774	3	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000120.1	JBFSEQ010000120.1	0	61453	4	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000121.1	JBFSEQ010000121.1	0	61199	4	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000122.1	JBFSEQ010000122.1	0	60307	4	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000123.1	JBFSEQ010000123.1	0	60209	4	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000124.1	JBFSEQ010000124.1	0	60087	4	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000125.1	JBFSEQ010000125.1	0	59877	4	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000126.1	JBFSEQ010000126.1	0	59662	4	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000127.1	JBFSEQ010000127.1	0	59175	4	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000128.1	JBFSEQ010000128.1	0	58862	4	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000129.1	JBFSEQ010000129.1	0	57025	4	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000013.1	JBFSEQ010000013.1	0	62733483	4	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000130.1	JBFSEQ010000130.1	0	56968	5	2	2
Daubentonia_madagascariensis_ssp	JBFSEQ010000131.1	JBFSEQ010000131.1	0	56796	5	2	2
