REFERENCE_FOLDER	REGION	CONTIG_ID	START	END	BATCH	FEMALE_PLOIDY	MALE_PLOIDY
Cercopithecus_mitis_ssp	CM053363.1	CM053363.1	0	88009121	0	2	2
Cercopithecus_mitis_ssp	CM053364.1	CM053364.1	0	87835244	1	2	2
Cercopithecus_mitis_ssp	CM053365.1	CM053365.1	0	86538786	2	2	2
Cercopithecus_mitis_ssp	CM053366.1	CM053366.1	0	85402577	3	2	2
Cercopithecus_mitis_ssp	CM053367.1	CM053367.1	0	75414072	4	2	2
Cercopithecus_mitis_ssp	CM053368.1	CM053368.1	0	71073243	5	2	2
Cercopithecus_mitis_ssp	CM053369.1	CM053369.1	0	70447679	6	2	2
Cercopithecus_mitis_ssp	CM053370.1	CM053370.1	0	69626470	7	2	2
Cercopithecus_mitis_ssp	CM053371.1	CM053371.1	0	68943537	8	2	2
Cercopithecus_mitis_ssp	CM053372.1	CM053372.1	0	66677163	9	2	2
Cercopithecus_mitis_ssp	CM053373.1	CM053373.1	0	66609738	10	2	2
Cercopithecus_mitis_ssp	CM053374.1	CM053374.1	0	66426888	11	2	2
Cercopithecus_mitis_ssp	CM053375.1	CM053375.1	0	64687006	12	2	2
Cercopithecus_mitis_ssp	CM053376.1	CM053376.1	0	59318320	13	2	2
Cercopithecus_mitis_ssp	CM053377.1	CM053377.1	0	59090989	14	2	2
Cercopithecus_mitis_ssp	CM053378.1	CM053378.1	0	58491616	15	2	2
Cercopithecus_mitis_ssp	CM053379.1	CM053379.1	0	58039581	16	2	2
Cercopithecus_mitis_ssp	CM053380.1	CM053380.1	0	57549001	17	2	2
Cercopithecus_mitis_ssp	CM053381.1	CM053381.1	0	57434522	18	2	2
Cercopithecus_mitis_ssp	CM053382.1	CM053382.1	0	56386964	19	2	2
Cercopithecus_mitis_ssp	CM053383.1	CM053383.1	0	53007276	20	2	2
Cercopithecus_mitis_ssp	CM053384.1	CM053384.1	0	51119100	21	2	2
Cercopithecus_mitis_ssp	CM053385.1	CM053385.1	0	50681266	22	2	2
Cercopithecus_mitis_ssp	CM053386.1	CM053386.1	0	50374119	23	2	2
Cercopithecus_mitis_ssp	CM053387.1	CM053387.1	0	50317756	24	2	2
Cercopithecus_mitis_ssp	CM053388.1	CM053388.1	0	49104474	25	2	2
Cercopithecus_mitis_ssp	CM053389.1	CM053389.1	0	44586243	26	2	2
Cercopithecus_mitis_ssp	CM053390.1	CM053390.1	0	43730733	27	2	2
Cercopithecus_mitis_ssp	CM053391.1	CM053391.1	0	41280424	28	2	2
Cercopithecus_mitis_ssp	CM053392.1	CM053392.1	0	41208324	29	2	2
Cercopithecus_mitis_ssp	CM053393.1	CM053393.1	0	39222078	30	2	2
Cercopithecus_mitis_ssp	CM053394.1	CM053394.1	0	36214567	31	2	2
Cercopithecus_mitis_ssp	CM053395.1	CM053395.1	0	32561146	32	2	2
Cercopithecus_mitis_ssp	CM053396.1	CM053396.1	0	23905768	33	2	2
Cercopithecus_mitis_ssp	CM053397.1	CM053397.1	0	21946602	33	2	2
Cercopithecus_mitis_ssp	CM053398.1	CM053398.1	0	124140859	34	2	1
Cercopithecus_mitis_ssp	JAQQSH010000099.1	JAQQSH010000099.1	0	3063	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010000999.1	JAQQSH010000999.1	0	14752	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010009999.1	JAQQSH010009999.1	0	10811	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010099999.1	JAQQSH010099999.1	0	1614	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100000.1	JAQQSH010100000.1	0	1614	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100001.1	JAQQSH010100001.1	0	1614	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100002.1	JAQQSH010100002.1	0	1614	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100003.1	JAQQSH010100003.1	0	1614	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100004.1	JAQQSH010100004.1	0	1614	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100005.1	JAQQSH010100005.1	0	1614	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100006.1	JAQQSH010100006.1	0	1614	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100007.1	JAQQSH010100007.1	0	1614	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100008.1	JAQQSH010100008.1	0	1614	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010010000.1	JAQQSH010010000.1	0	10810	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100009.1	JAQQSH010100009.1	0	1614	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100010.1	JAQQSH010100010.1	0	1614	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100011.1	JAQQSH010100011.1	0	1614	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100012.1	JAQQSH010100012.1	0	1614	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100013.1	JAQQSH010100013.1	0	1614	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100014.1	JAQQSH010100014.1	0	1614	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100015.1	JAQQSH010100015.1	0	1614	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100016.1	JAQQSH010100016.1	0	1613	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100017.1	JAQQSH010100017.1	0	1613	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100018.1	JAQQSH010100018.1	0	1613	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010010001.1	JAQQSH010010001.1	0	10810	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100019.1	JAQQSH010100019.1	0	1613	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100020.1	JAQQSH010100020.1	0	1613	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100021.1	JAQQSH010100021.1	0	1613	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100022.1	JAQQSH010100022.1	0	1613	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100023.1	JAQQSH010100023.1	0	1613	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100024.1	JAQQSH010100024.1	0	1613	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100025.1	JAQQSH010100025.1	0	1613	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100026.1	JAQQSH010100026.1	0	1613	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100027.1	JAQQSH010100027.1	0	1613	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100028.1	JAQQSH010100028.1	0	1613	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010010002.1	JAQQSH010010002.1	0	10810	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100029.1	JAQQSH010100029.1	0	1613	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100030.1	JAQQSH010100030.1	0	1613	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100031.1	JAQQSH010100031.1	0	1613	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100032.1	JAQQSH010100032.1	0	1613	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100033.1	JAQQSH010100033.1	0	1613	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100034.1	JAQQSH010100034.1	0	1613	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100035.1	JAQQSH010100035.1	0	1613	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100036.1	JAQQSH010100036.1	0	1613	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100037.1	JAQQSH010100037.1	0	1613	35	2	2
Cercopithecus_mitis_ssp	JAQQSH010100038.1	JAQQSH010100038.1	0	1613	35	2	2
